idayantdrt,idjeucle,idpartpt,cle,numcatalrepst,cedant,gestnr,comacc,cde_motif_mise_en_attente,droit_mise_en_attente
31296426,65486662,98221847,25.0000,,1,0,0,,
73652486,65486660,98221848,25.0000,,1,1,0,,
73652487,65486661,98221848,25.0000,,1,1,0,,
73652488,65486662,98221848,12.5000,,1,1,0,,
90599962,65486662,98221849,25.0000,,1,0,0,,
9682064,65486660,98221850,25.0000,,1,1,0,,
9682065,65486661,98221850,25.0000,,1,1,0,,
9682066,65486662,98221850,12.5000,,1,1,0,,
52847729,65918051,100033017,25.0000,,1,0,0,,
151699721,65918049,100033018,25.0000,,1,1,0,,
151699722,65918050,100033018,25.0000,,1,1,0,,
151699723,65918051,100033018,12.5000,,1,1,0,,
81060403,65918051,100033019,25.0000,,1,0,0,,
129899100,65918049,100033020,25.0000,,1,1,0,,
129899101,65918050,100033020,25.0000,,1,1,0,,
129899102,65918051,100033020,12.5000,,1,1,0,,
95849430,66311839,103338236,50.0000,,1,1,0,,
95849431,66311840,103338236,25.0000,,1,1,0,,
95849432,66311842,103338236,50.0000,,1,1,0,,
109243428,66311839,103338239,25.0000,,1,1,0,,
109243429,66311840,103338239,12.5000,,1,1,0,,
109243430,66311842,103338239,25.0000,,1,1,0,,
151834023,66311840,103338241,25.0000,,1,0,0,,
122522320,66311839,103338242,25.0000,,1,1,0,,
122522321,66311840,103338242,12.5000,,1,1,0,,
122522322,66311842,103338242,25.0000,,1,1,0,,
42483785,71887707,175041775,25.0000,,1,1,0,,
42483786,71887708,175041775,50.0000,,1,1,0,,
42483787,71887709,175041775,50.0000,,1,1,0,,
94648060,71887707,175041776,12.5000,,1,1,0,,
94648061,71887708,175041776,25.0000,,1,1,0,,
94648062,71887709,175041776,25.0000,,1,1,0,,
4347399,71887707,175041777,12.5000,,1,1,0,,
4347400,71887708,175041777,25.0000,,1,1,0,,
4347401,71887709,175041777,25.0000,,1,1,0,,
32709539,71887707,175041778,25.0000,,1,0,0,,
17735365,85100270,336915739,50.0000,,1,1,0,,
17735368,85100273,336915739,50.0000,,1,1,0,,
17735371,85100274,336915739,25.0000,,1,1,0,,
17735366,85100270,336915741,25.0000,,1,1,0,,
17735369,85100273,336915741,25.0000,,1,1,0,,
17735372,85100274,336915741,12.5000,,1,1,0,,
17735367,85100270,336915743,25.0000,,1,1,0,,
17735370,85100273,336915743,25.0000,,1,1,0,,
17735373,85100274,336915743,12.5000,,1,1,0,,
17735374,85100274,336915745,25.0000,,1,0,0,,
172654387,98496001,440359048,50.0000,,1,1,0,,
172654399,98496007,440359048,25.0000,,1,1,0,,
172654406,98496009,440359048,50.0000,,1,1,0,,
172654390,98496001,440359050,25.0000,,1,1,0,,
172654400,98496007,440359050,12.5000,,1,1,0,,
172654407,98496009,440359050,25.0000,,1,1,0,,
172654396,98496001,440359052,25.0000,,1,1,0,,
172654402,98496007,440359052,12.5000,,1,1,0,,
172654408,98496009,440359052,25.0000,,1,1,0,,
172654404,98496007,440359053,25.0000,,1,0,0,,
306725583,154924051,633137703,25.0000,,1,1,0,,
306725591,154924053,633137703,50.0000,,1,1,0,,
306725593,154924054,633137703,50.0000,,1,1,0,,
306725588,154924051,633137707,12.5000,,1,0,0,,
306725590,154924051,633137709,12.5000,,1,0,0,,
307664411,155067759,633655787,12.5000,,1,0,0,,
307664414,155067759,633655788,12.5000,,1,0,0,,
307664405,155067757,633655789,50.0000,,1,1,0,,
307664407,155067758,633655789,50.0000,,1,1,0,,
307664409,155067759,633655789,25.0000,,1,1,0,,
340238944,167862677,668092317,50.0000,,1,1,0,,
340238951,167862680,668092317,25.0000,,1,1,0,,
340238971,167862684,668092317,50.0000,,1,1,0,,
340238945,167862677,668092319,50.0000,,1,1,0,,
340238959,167862680,668092319,25.0000,,1,1,0,,
340238972,167862684,668092319,50.0000,,1,1,0,,
340238960,167862680,668092321,12.5000,,1,0,0,,
340238961,167862680,668092322,12.5000,,1,0,0,,
340238965,167862680,668092323,12.5000,,1,0,0,,
340238968,167862680,668092324,12.5000,,1,0,0,,
345071541,169500602,673717650,19.0000,,1,1,0,,
345071548,169500603,673717650,9.5000,,1,1,0,,
345071557,169500604,673717650,19.0000,,1,1,0,,
345071542,169500602,673717651,4.0000,,1,1,0,,
345071549,169500603,673717651,2.0000,,1,1,0,,
345071558,169500604,673717651,4.0000,,1,1,0,,
345071543,169500602,673717652,1.0000,,1,1,0,,
345071551,169500603,673717652,0.5000,,1,1,0,,
345071559,169500604,673717652,1.0000,,1,1,0,,
345071544,169500602,673717653,36.0000,,1,1,0,,
345071553,169500603,673717653,18.0000,,1,1,0,,
345071560,169500604,673717653,36.0000,,1,1,0,,
345071545,169500602,673717654,40.0000,,1,1,0,,
345071555,169500603,673717654,20.0000,,1,1,0,,
345071561,169500604,673717654,40.0000,,1,1,0,,
345071546,169500603,673717655,10.0000,,1,0,0,,
345071547,169500603,673717656,10.0000,,1,0,0,,
345071554,169500603,673717659,10.0000,,1,0,0,,
345071556,169500603,673717660,10.0000,,1,0,0,,
345195605,169550047,673788284,19.0000,,1,1,0,,
345195630,169550051,673788284,9.5000,,1,1,0,,
345195648,169550054,673788284,19.0000,,1,1,0,,
345195607,169550047,673788286,4.0000,,1,1,0,,
345195632,169550051,673788286,2.0000,,1,1,0,,
345195650,169550054,673788286,4.0000,,1,1,0,,
345195612,169550047,673788291,1.0000,,1,1,0,,
345195636,169550051,673788291,0.5000,,1,1,0,,
345195652,169550054,673788291,1.0000,,1,1,0,,
345195614,169550047,673788293,36.0000,,1,1,0,,
345195640,169550051,673788293,18.0000,,1,1,0,,
345195653,169550054,673788293,36.0000,,1,1,0,,
345195617,169550047,673788294,40.0000,,1,1,0,,
345195644,169550051,673788294,20.0000,,1,1,0,,
345195654,169550054,673788294,40.0000,,1,1,0,,
345195628,169550051,673788300,10.0000,,1,0,0,,
345195629,169550051,673788301,10.0000,,1,0,0,,
345195642,169550051,673788308,10.0000,,1,0,0,,
345195645,169550051,673788309,10.0000,,1,0,0,,
345890460,169832941,674226085,19.0000,,1,1,0,,
345890613,169832975,674226085,9.5000,,1,1,0,,
345890703,169833004,674226085,19.0000,,1,1,0,,
345890494,169832941,674226110,1.0000,,1,1,0,,
345890629,169832975,674226110,0.5000,,1,1,0,,
345890722,169833004,674226110,1.0000,,1,1,0,,
345890513,169832941,674226117,4.0000,,1,1,0,,
345890614,169832975,674226117,2.0000,,1,1,0,,
345890706,169833004,674226117,4.0000,,1,1,0,,
345890539,169832941,674226131,36.0000,,1,1,0,,
345890670,169832975,674226131,18.0000,,1,1,0,,
345890726,169833004,674226131,36.0000,,1,1,0,,
345890555,169832941,674226142,40.0000,,1,1,0,,
345890677,169832975,674226142,20.0000,,1,1,0,,
345890727,169833004,674226142,40.0000,,1,1,0,,
345890576,169832975,674226154,10.0000,,1,0,0,,
345890606,169832975,674226177,10.0000,,1,0,0,,
345890671,169832975,674226216,10.0000,,1,0,0,,
345890678,169832975,674226222,10.0000,,1,0,0,,
172654405,98496007,440359054,25.0000,,1,0,0,,
345890615,169832975,674226180,5.0000,,1,0,0,,
345890646,169832975,674226198,5.0000,,1,0,0,,
