idjeucle,datdbtsys,datfinsys,datdbtvld,datfinvld,cdetypdrtsacem,idcess
65383280,,,2015-11-03 00:00:00.000000,,PH,25009482
65383281,,,2015-11-03 00:00:00.000000,,DR,25009482
65383282,,,2015-11-03 00:00:00.000000,,DE,25009482
65486660,,,2015-11-06 00:00:00.000000,,DR,25052737
65486661,,,2015-11-06 00:00:00.000000,,PH,25052737
65486662,,,2015-11-06 00:00:00.000000,,DE,25052737
65918049,,,2015-11-23 00:00:00.000000,,PH,25214129
65918050,,,2015-11-23 00:00:00.000000,,DR,25214129
65918051,,,2015-11-23 00:00:00.000000,,DE,25214129
66311839,,,2015-12-14 00:00:00.000000,,DR,25373715
66311840,,,2015-12-14 00:00:00.000000,,DE,25373715
66311842,,,2015-12-14 00:00:00.000000,,PH,25373715
71887707,,,2016-11-17 00:00:00.000000,,DE,27914950
71887708,,,2016-11-17 00:00:00.000000,,DR,27914950
71887709,,,2016-11-17 00:00:00.000000,,PH,27914950
85100270,,,2018-10-11 00:00:00.000000,,PH,33251338
85100273,,,2018-10-11 00:00:00.000000,,DR,33251338
85100274,,,2018-10-11 00:00:00.000000,,DE,33251338
98496001,,,2019-09-19 00:00:00.000000,,DR,38018551
98496007,,,2019-09-19 00:00:00.000000,,DE,38018551
98496009,,,2019-09-19 00:00:00.000000,,PH,38018551
154924051,2023-06-06 00:00:00.000000,,1850-01-01 00:00:00.000000,,DE,58651835
154924053,2023-06-06 00:00:00.000000,,1850-01-01 00:00:00.000000,,DR,58651835
154924054,2023-06-06 00:00:00.000000,,1850-01-01 00:00:00.000000,,PH,58651835
155067757,2023-06-07 00:00:00.000000,,2023-06-07 00:00:00.000000,,DR,58699879
155067758,2023-06-07 00:00:00.000000,,2023-06-07 00:00:00.000000,,PH,58699879
155067759,2023-06-07 00:00:00.000000,,2023-06-07 00:00:00.000000,,DE,58699879
167862677,2024-03-20 00:00:00.000000,,2024-03-20 00:00:00.000000,,DR,62999408
167862680,2024-03-20 00:00:00.000000,,2024-03-20 00:00:00.000000,,DE,62999408
167862684,2024-03-20 00:00:00.000000,,2024-03-20 00:00:00.000000,,PH,62999408
169500602,2024-04-23 00:00:00.000000,,1850-01-01 00:00:00.000000,,DR,63547534
169500603,2024-04-23 00:00:00.000000,,1850-01-01 00:00:00.000000,,DE,63547534
169500604,2024-04-23 00:00:00.000000,,1850-01-01 00:00:00.000000,,PH,63547534
169550047,2024-04-23 00:00:00.000000,,2024-04-24 00:00:00.000000,,DR,63564025
169550051,2024-04-23 00:00:00.000000,,2024-04-24 00:00:00.000000,,DE,63564025
169550054,2024-04-23 00:00:00.000000,,2024-04-24 00:00:00.000000,,PH,63564025
169832941,2024-04-23 00:00:00.000000,,2024-05-02 00:00:00.000000,,DR,63658576
169832975,2024-04-23 00:00:00.000000,,2024-05-02 00:00:00.000000,,DE,63658576
169833004,2024-04-23 00:00:00.000000,,2024-05-02 00:00:00.000000,,PH,63658576
