iddetcessnr,cdecategadsacem,numcatal,numpers,gestnr,datdbtvld,datfinvld,idctr,idpcttypdrt
1052,SE,468837,109933,0,,,353,157244
1056,SE,468837,109933,0,,,353,157247
1057,SE,468837,109933,0,,,353,157250
6331,SE,462773,58052,0,,,2125,168481
6333,SE,462773,58052,0,,,2125,168483
6335,SE,462773,58052,0,,,2125,168485
650530,SE,462773,109933,0,,,257564,1644321
650531,SE,462773,109933,0,,,257564,1644325
650533,SE,462773,109933,0,,,257564,1644328
710658,SE,462773,109933,0,,,278479,1786418
710659,SE,462773,109933,0,,,278479,1786419
710660,SE,462773,109933,0,,,278479,1786420
915982,SE,462773,109933,0,,,361147,2293102
915983,SE,462773,109933,0,,,361147,2293103
915984,SE,462773,109933,0,,,361147,2293104
919245,SE,462773,109933,0,,,362268,2300337
919246,SE,462773,109933,0,,,362268,2300338
919247,SE,462773,109933,0,,,362268,2300339
923302,SE,462773,109933,0,,,363707,2308980
923303,SE,462773,109933,0,,,363707,2308981
923304,SE,462773,109933,0,,,363707,2308982
926685,SE,462773,109933,0,,,364908,2316697
926686,SE,462773,109933,0,,,364908,2316698
926687,SE,462773,109933,0,,,364908,2316699
927802,SE,462773,109933,0,,,365307,2319984
927803,SE,462773,109933,0,,,365307,2319985
927804,SE,462773,109933,0,,,365307,2319986
935965,SE,462773,109933,0,,,368208,2375061
935966,SE,462773,109933,0,,,368208,2375062
935967,SE,462773,109933,0,,,368208,2375063
939185,SE,462773,109933,0,,,369388,2382691
939186,SE,462773,109933,0,,,369388,2382692
939187,SE,462773,109933,0,,,369388,2382693
942285,SE,462773,109933,0,,,370488,2390324
942286,SE,462773,109933,0,,,370488,2390325
942287,SE,462773,109933,0,,,370488,2390326
942828,SE,462773,109933,0,,,370709,2391751
942829,SE,462773,109933,0,,,370709,2391752
942830,SE,462773,109933,0,,,370709,2391753
947382,SE,462773,109933,0,,,372347,2401791
947383,SE,462773,109933,0,,,372347,2401792
947384,SE,462773,109933,0,,,372347,2401793
947662,SE,462773,109933,0,,,372447,2402386
947663,SE,462773,109933,0,,,372447,2402387
947664,SE,462773,109933,0,,,372447,2402388
957728,SE,462773,109933,0,,,376089,2424532
957729,SE,462773,109933,0,,,376089,2424533
957730,SE,462773,109933,0,,,376089,2424534
958685,SE,462773,109933,0,,,376448,2426663
958686,SE,462773,109933,0,,,376448,2426664
958687,SE,462773,109933,0,,,376448,2426665
961662,SE,462773,109933,0,,,377507,2433619
961663,SE,462773,109933,0,,,377507,2433620
961664,SE,462773,109933,0,,,377507,2433621
964862,SE,462773,109933,0,,,378747,2442289
964863,SE,462773,109933,0,,,378747,2442290
964864,SE,462773,109933,0,,,378747,2442291
976788,SE,462773,109933,0,,,382849,2468834
976789,SE,462773,109933,0,,,382849,2468835
976790,SE,462773,109933,0,,,382849,2468836
984248,SE,462773,109933,0,,,385449,2485721
984249,SE,462773,109933,0,,,385449,2485722
984250,SE,462773,109933,0,,,385449,2485723
987725,SE,462773,109933,0,,,386668,2495744
987726,SE,462773,109933,0,,,386668,2495745
987727,SE,462773,109933,0,,,386668,2495746
992282,SE,462773,109933,0,,,388287,2506304
992283,SE,462773,109933,0,,,388287,2506305
992284,SE,462773,109933,0,,,388287,2506306
993282,SE,462773,109933,0,,,388667,2509137
