idoeuv,idpartpt,numnom,numnomgp,edtrsubst,partedtr,let,cdecategadsacem,numcatal,numpers,datdbtvld,datfinvld,nomdeclt,prndeclt,nomfid,id,dscrmt,numpartptspeci,ipnamenrforcage,idbranche
154886513,98221847,917799,917799,0,,B,CA,604620,606728,,,,,,,OSCAR,,,
154886513,98221848,177462,177462,0,,A,E,13830,114109,,,,,,,OSCAR,,,
154886513,98221849,554133,554133,0,,A,CA,437101,401729,,,,,,,OSCAR,,,
154886513,98221850,835607,835607,0,,A,E,554345,558236,,,,,,,OSCAR,,,
158623374,100033017,917799,917799,0,,B,CA,604620,606728,,,,,,,OSCAR,,,
158623374,100033018,177462,177462,0,,A,E,13830,114109,,,,,,,OSCAR,,,
158623374,100033019,554133,554133,0,,A,CA,437101,401729,,,,,,,OSCAR,,,
158623374,100033020,835607,835607,0,,A,E,554345,558236,,,,,,,OSCAR,,,
165217134,103338236,1165738,1165738,0,,B,E,754379,753450,,,,,,,OSCAR,,,
165217134,103338239,177462,177462,0,,A,E,13830,114109,,,,,,,OSCAR,,,
165217134,103338241,554133,554133,0,,A,CA,437101,401729,,,,,,,OSCAR,,,
165217134,103338242,835607,835607,0,,A,E,554345,558236,,,,,,,OSCAR,,,
329355679,175041775,1165738,1165738,0,,B,E,754379,753450,,,,,,,OSCAR,,,
329355679,175041776,177462,177462,0,,A,E,13830,114109,,,,,,,OSCAR,,,
329355679,175041777,835607,835607,0,,A,E,554345,558236,,,,,,,OSCAR,,,
329355679,175041778,554133,554133,0,,A,CA,437101,401729,,,,,,,OSCAR,,,
678279320,336915739,1165738,1165738,0,,B,E,754379,753450,,,,,,,OSCAR,,,
678279320,336915741,177462,177462,0,,A,E,13830,114109,,,,,,,OSCAR,,,
678279320,336915743,835607,835607,0,,A,E,554345,558236,,,,,,,OSCAR,,,
678279320,336915745,554133,554133,0,,A,CA,437101,401729,,,,,,,OSCAR,,,
860955151,440359048,1165738,1165738,0,,B,E,754379,753450,,,,,,,OSCAR,,,4592572
860955151,440359050,177462,177462,0,,A,E,13830,114109,,,,,,,OSCAR,,,4592571
860955151,440359052,835607,835607,0,,A,E,554345,558236,,,,,,,OSCAR,,,4592571
860955151,440359053,554133,554133,0,,A,CA,437101,401729,,,,,,,OSCAR,,,4592571
1461623283,633137703,433044,433044,0,,A,E,427633,336968,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,21882231
1461623283,633137707,1170095,1170095,0,,B,C,757131,756161,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,21882232
1461623283,633137709,1170095,1170095,0,,B,A,757131,756161,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,21882232
1461659356,633655787,1170095,1170095,0,,B,C,757131,756161,2023-06-07 00:00:00.000000,,,,,,OSCAR,,,21998316
1461659356,633655788,1170095,1170095,0,,B,A,757131,756161,2023-06-07 00:00:00.000000,,,,,,OSCAR,,,21998316
1461659356,633655789,433044,433044,0,,A,E,427633,336968,2023-06-07 00:00:00.000000,,,,,,OSCAR,,,21998315
1574532731,668092317,433044,433044,0,,B,E,427633,336968,2024-03-20 00:00:00.000000,,,,,,OSCAR,,,26907005
1574532731,668092319,1278249,1278249,0,,A,E,827548,820240,2024-03-20 00:00:00.000000,,,,,,OSCAR,,,26907006
1574532731,668092321,1123680,1123682,0,,B,C,727745,728542,2024-03-20 00:00:00.000000,,,,,,OSCAR,,,26907005
1574532731,668092322,1123680,1123682,0,,B,A,727745,728542,2024-03-20 00:00:00.000000,,,,,,OSCAR,,,26907005
1574532731,668092323,1170095,1170095,0,,A,C,757131,756161,2024-03-20 00:00:00.000000,,,,,,OSCAR,,,26907006
1574532731,668092324,1170095,1170095,0,,A,A,757131,756161,2024-03-20 00:00:00.000000,,,,,,OSCAR,,,26907006
1586175639,673717650,1502312,1502312,0,,C,E,969115,952221,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,27590529
1586175639,673717651,755142,755142,0,,A,E,192656,514547,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,27590530
1586175639,673717652,1601348,1601348,0,,C,E,1030977,1011843,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,27590529
1586175639,673717653,1961552,1961552,0,,A,E,1258604,1226845,1850-01-01 00:00:00.000000,,,,,,OSCAR,,,27590530
