idpcttypdrt,idclauspartcl,cdetypdrtsacem,pct
157244,,DR,100.00000000
157247,,PH,100.00000000
157250,,DE,100.00000000
168481,,DE,100.00000000
168483,,PH,100.00000000
168485,,DR,100.00000000
1644321,,PH,100.00000000
1644325,,DR,100.00000000
1644328,,DE,100.00000000
1786418,,PH,100.00000000
1786419,,DR,100.00000000
1786420,,DE,100.00000000
2293102,,PH,100.00000000
2293103,,DR,100.00000000
2293104,,DE,100.00000000
2300337,,PH,100.00000000
2300338,,DR,100.00000000
2300339,,DE,100.00000000
2308980,,PH,100.00000000
2308981,,DR,100.00000000
2308982,,DE,100.00000000
2316697,,PH,100.00000000
2316698,,DR,100.00000000
2316699,,DE,100.00000000
2319984,,PH,100.00000000
2319985,,DR,100.00000000
2319986,,DE,100.00000000
2375061,,PH,100.00000000
2375062,,DR,100.00000000
2375063,,DE,100.00000000
2382691,,PH,100.00000000
2382692,,DR,100.00000000
2382693,,DE,100.00000000
2390324,,PH,100.00000000
2390325,,DR,100.00000000
2390326,,DE,100.00000000
2391751,,PH,100.00000000
2391752,,DR,100.00000000
2391753,,DE,100.00000000
2401791,,PH,100.00000000
2401792,,DR,100.00000000
2401793,,DE,100.00000000
2402386,,PH,100.00000000
2402387,,DR,100.00000000
2402388,,DE,100.00000000
2424532,,PH,100.00000000
2424533,,DR,100.00000000
2424534,,DE,100.00000000
2426663,,PH,100.00000000
2426664,,DR,100.00000000
2426665,,DE,100.00000000
2433619,,PH,100.00000000
2433620,,DR,100.00000000
2433621,,DE,100.00000000
2442289,,PH,100.00000000
2442290,,DR,100.00000000
2442291,,DE,100.00000000
2468834,,DR,100.00000000
2468835,,DE,100.00000000
2468836,,PH,100.00000000
2485721,,DR,100.00000000
2485722,,DE,100.00000000
2485723,,PH,100.00000000
2495744,,DR,100.00000000
2495745,,DE,100.00000000
2495746,,PH,100.00000000
2506304,,DR,100.00000000
2506305,,DE,100.00000000
2506306,,PH,100.00000000
2509137,,DR,100.00000000
2509138,,DE,100.00000000
2509139,,PH,100.00000000
2530908,,DR,100.00000000
2530909,,DE,100.00000000
2530910,,PH,100.00000000
2539970,,DR,100.00000000
2539971,,DE,100.00000000
2539972,,PH,100.00000000
2542589,,DR,100.00000000
2542590,,DE,100.00000000
2542591,,PH,100.00000000
2545655,,DR,100.00000000
2545656,,DE,100.00000000
2545657,,PH,100.00000000
2547332,,DR,100.00000000
2547333,,DE,100.00000000
2547334,,PH,100.00000000
2556048,,DR,100.00000000
2556049,,DE,100.00000000
2556050,,PH,100.00000000
2558104,,DR,100.00000000
2558105,,DE,100.00000000
2558106,,PH,100.00000000
2563160,,DR,100.00000000
2563161,,DE,100.00000000
2563162,,PH,100.00000000
3311777,,DR,100.00000000
3311778,,DE,100.00000000
3311779,,PH,100.00000000
171049,,DE,100.00000000
171051,,DR,100.00000000
171053,,PH,100.00000000
876056,,DE,100.00000000
876060,,DR,100.00000000
876064,,PH,100.00000000
1686733,,DE,100.00000000
1686734,,DR,100.00000000
1686735,,PH,100.00000000
2386230,,DE,100.00000000
2386231,,DR,100.00000000
2386232,,PH,100.00000000
171072,,DE,100.00000000
171073,,DR,100.00000000
171074,,PH,100.00000000
657663,,DE,100.00000000
657664,,DR,100.00000000
657665,,PH,100.00000000
876134,,DE,100.00000000
876135,,DR,100.00000000
876137,,PH,100.00000000
1686816,,DE,100.00000000
1686817,,DR,100.00000000
1686818,,PH,100.00000000
2284780,,DE,100.00000000
2284781,,DR,100.00000000
2284782,,PH,100.00000000
2442295,,DE,100.00000000
2442296,,DR,100.00000000
2442297,,PH,100.00000000
437445,,PH,100.00000000
437447,,DE,100.00000000
437449,,DR,100.00000000
892369,,PH,100.00000000
892371,,DR,100.00000000
892370,,DE,100.00000000
3639730,,PH,100.00000000
3639731,,DR,100.00000000
3639732,,DE,100.00000000
454768,,DE,100.00000000
454770,,DR,100.00000000
454772,,PH,100.00000000
902229,,DE,100.00000000
902230,,DR,100.00000000
902234,,PH,100.00000000
495497,,DR,100.00000000
495501,,PH,100.00000000
495503,,DE,100.00000000
1413137,,DR,100.00000000
1413138,,PH,100.00000000
1413139,,DE,100.00000000
2265759,,DR,100.00000000
2265760,,PH,100.00000000
2265761,,DE,100.00000000
2284269,,DR,100.00000000
2284270,,PH,100.00000000
2284271,,DE,100.00000000
2292070,,DR,100.00000000
2292071,,PH,100.00000000
2292072,,DE,100.00000000
2293271,,DR,100.00000000
2293272,,PH,100.00000000
2293273,,DE,100.00000000
2312797,,DR,100.00000000
2312798,,PH,100.00000000
2312799,,DE,100.00000000
2314361,,DR,100.00000000
2314362,,PH,100.00000000
2314363,,DE,100.00000000
2320038,,DR,100.00000000
2320039,,PH,100.00000000
2320040,,DE,100.00000000
2375091,,DR,100.00000000
2375092,,PH,100.00000000
2375093,,DE,100.00000000
2378137,,DR,100.00000000
2378138,,PH,100.00000000
2378139,,DE,100.00000000
2388680,,DR,100.00000000
2388681,,PH,100.00000000
2388682,,DE,100.00000000
2390366,,DR,100.00000000
2390367,,PH,100.00000000
2390368,,DE,100.00000000
2415474,,DR,100.00000000
2415475,,PH,100.00000000
2415476,,DE,100.00000000
2418612,,DR,100.00000000
2418613,,PH,100.00000000
2418614,,DE,100.00000000
2423052,,DR,100.00000000
2423053,,PH,100.00000000
2423054,,DE,100.00000000
2425670,,DR,100.00000000
2425671,,PH,100.00000000
2425672,,DE,100.00000000
2426925,,DR,100.00000000
2426926,,PH,100.00000000
2426927,,DE,100.00000000
2440199,,DR,100.00000000
2440200,,PH,100.00000000
2440201,,DE,100.00000000
2441814,,DR,100.00000000
2441815,,PH,100.00000000
2441816,,DE,100.00000000
2460769,,DR,100.00000000
2460770,,PH,100.00000000
2460771,,DE,100.00000000
2468846,,PH,100.00000000
2468847,,DR,100.00000000
2468848,,DE,100.00000000
2483800,,PH,100.00000000
2483801,,DR,100.00000000
2483802,,DE,100.00000000
2487225,,PH,100.00000000
2487226,,DR,100.00000000
2487227,,DE,100.00000000
2489751,,PH,100.00000000
2489752,,DR,100.00000000
2489753,,DE,100.00000000
2492550,,PH,100.00000000
2492551,,DR,100.00000000
2492552,,DE,100.00000000
2515674,,PH,100.00000000
2515675,,DR,100.00000000
2515676,,DE,100.00000000
2516512,,PH,100.00000000
2516513,,DR,100.00000000
2516514,,DE,100.00000000
2517315,,PH,100.00000000
2517316,,DR,100.00000000
2517317,,DE,100.00000000
2528408,,PH,100.00000000
2528409,,DR,100.00000000
2528410,,DE,100.00000000
2546549,,PH,100.00000000
2546550,,DR,100.00000000
2546551,,DE,100.00000000
2547530,,PH,100.00000000
2547531,,DR,100.00000000
2547532,,DE,100.00000000
2549363,,PH,100.00000000
2549364,,DR,100.00000000
2549365,,DE,100.00000000
2552133,,PH,100.00000000
2552134,,DR,100.00000000
2552135,,DE,100.00000000
2563985,,PH,100.00000000
2563986,,DR,100.00000000
2563987,,DE,100.00000000
2566872,,PH,100.00000000
2566873,,DR,100.00000000
2566874,,DE,100.00000000
2576514,,PH,100.00000000
2576515,,DR,100.00000000
2576516,,DE,100.00000000
219617,,DR,100.00000000
219619,,PH,100.00000000
219621,,DE,100.00000000
914931,,DR,100.00000000
914932,,PH,100.00000000
914933,,DE,100.00000000
693302,,DE,100.00000000
693303,,DR,100.00000000
693304,,PH,100.00000000
2015396,,DR,100.00000000
2015397,,PH,100.00000000
2015398,,DE,100.00000000
2166799,,PH,100.00000000
2166800,,DR,100.00000000
2166801,,DE,100.00000000
156619,,DE,100.00000000
156623,,DR,100.00000000
156627,,PH,100.00000000
944082,,DE,100.00000000
944084,,DR,100.00000000
944087,,PH,100.00000000
2277857,,DE,100.00000000
2277858,,DR,100.00000000
2277859,,PH,100.00000000
2292135,,DE,100.00000000
2292136,,DR,100.00000000
2292137,,PH,100.00000000
2299876,,DE,100.00000000
2299877,,DR,100.00000000
2299878,,PH,100.00000000
2311002,,DE,100.00000000
2311003,,DR,100.00000000
2311004,,PH,100.00000000
2382317,,DE,100.00000000
2382318,,DR,100.00000000
2382319,,PH,100.00000000
2384333,,DE,100.00000000
2384334,,DR,100.00000000
2384335,,PH,100.00000000
2404402,,DE,100.00000000
2404403,,DR,100.00000000
2404404,,PH,100.00000000
2432978,,DE,100.00000000
2432979,,DR,100.00000000
2432980,,PH,100.00000000
2442547,,DE,100.00000000
2442548,,DR,100.00000000
2442549,,PH,100.00000000
2469058,,DR,100.00000000
2469059,,PH,100.00000000
2469060,,DE,100.00000000
2471351,,DR,100.00000000
2471352,,PH,100.00000000
2471353,,DE,100.00000000
2515744,,DR,100.00000000
2515745,,PH,100.00000000
2515746,,DE,100.00000000
2528493,,DR,100.00000000
2528494,,PH,100.00000000
2528495,,DE,100.00000000
2558606,,DR,100.00000000
2558607,,PH,100.00000000
2558608,,DE,100.00000000
2562734,,DR,100.00000000
2562735,,PH,100.00000000
2562736,,DE,100.00000000
2565535,,DR,100.00000000
2565536,,PH,100.00000000
2565537,,DE,100.00000000
2571222,,DR,100.00000000
2571223,,PH,100.00000000
2571224,,DE,100.00000000
2573381,,DR,100.00000000
2573382,,PH,100.00000000
2573383,,DE,100.00000000
200603,,DE,100.00000000
200605,,DR,100.00000000
200607,,PH,100.00000000
948889,,DE,100.00000000
948890,,DR,100.00000000
948891,,PH,100.00000000
2301123,,DE,100.00000000
2301124,,DR,100.00000000
2301125,,PH,100.00000000
2313602,,DE,100.00000000
2313603,,DR,100.00000000
2313604,,PH,100.00000000
2317155,,DE,100.00000000
2317156,,DR,100.00000000
2317157,,PH,100.00000000
2324896,,DE,100.00000000
2324897,,DR,100.00000000
2324898,,PH,100.00000000
2386318,,DE,100.00000000
2386319,,DR,100.00000000
2386320,,PH,100.00000000
2388808,,DE,100.00000000
2388809,,DR,100.00000000
2388810,,PH,100.00000000
2395305,,DE,100.00000000
2395306,,DR,100.00000000
2395307,,PH,100.00000000
2407344,,DE,100.00000000
2407345,,DR,100.00000000
