idrestctr,idctr,additif
349773,91077,1
1232900,308748,1
312586,80413,1
2076268,411169,1
2076269,411169,1
2076270,411169,1
2076271,411169,1
2076272,411169,1
2076273,411169,1
2076274,411169,1
2076275,411169,1
2076276,411169,1
2076277,411169,1
2076278,411169,1
2076279,411169,1
2076280,411169,1
2076281,411169,1
2076282,411169,1
2076283,411169,1
2076284,411169,1
2076285,411169,1
2076286,411169,1
2076287,411169,1
2076288,411169,1
2076289,411169,1
2076290,411169,1
2076291,411169,1
2076292,411169,1
2076293,411169,1
2076294,411169,1
2076295,411169,1
2076296,411169,1
2076297,411169,1
2076298,411169,1
2076299,411169,1
2076300,411169,1
2076301,411169,1
2076302,411169,1
