iddetcedant,numcatal
1055,3893
1056,3893
1057,3893
6337,192656
6339,192656
6341,192656
651889,192656
651890,192656
651891,192656
712257,192656
712258,192656
712259,192656
917861,192656
917862,192656
917863,192656
921124,192656
921125,192656
921126,192656
925181,192656
925182,192656
925183,192656
928564,192656
928565,192656
928566,192656
929681,192656
929682,192656
929683,192656
937884,192656
937885,192656
937886,192656
941104,192656
941105,192656
941106,192656
944224,192656
944225,192656
944226,192656
944787,192656
944788,192656
944789,192656
949341,192656
949342,192656
949343,192656
949621,192656
949622,192656
949623,192656
959687,192656
959688,192656
959689,192656
960644,192656
960645,192656
960646,192656
963621,192656
963622,192656
963623,192656
966821,192656
966822,192656
966823,192656
978767,192656
978768,192656
978769,192656
986247,192656
986248,192656
986249,192656
989724,192656
989725,192656
989726,192656
994301,192656
994302,192656
994303,192656
995301,192656
995302,192656
995303,192656
1002441,192656
1002442,192656
1002443,192656
1004181,192656
1004182,192656
1004183,192656
1005284,192656
1005285,192656
1005286,192656
1006710,192656
1006711,192656
1006712,192656
1007524,192656
1007525,192656
1007526,192656
1011384,192656
1011385,192656
1011386,192656
1012350,192656
1012351,192656
1012352,192656
1014424,192656
1014425,192656
1014426,192656
1242279,192656
1242280,192656
1242281,192656
7559,13830
7560,13830
7561,13830
304005,13830
304007,13830
304008,13830
670765,13830
670766,13830
670768,13830
942461,13830
942462,13830
942463,13830
7571,273735
7572,273735
7573,273735
238681,273735
238682,273735
238683,273735
304043,273735
304044,273735
304045,273735
670804,273735
670805,273735
670806,273735
914101,273735
914102,273735
914103,273735
966824,273735
966825,273735
966826,273735
134559,3897
134562,3897
134563,3897
311926,3897
311927,3897
311928,3897
1345948,3897
1345949,3897
1345950,3897
142862,154552
142863,154552
142864,154552
316788,154552
316789,154552
316790,154552
162355,536921
162358,536921
162359,536921
548676,536921
548677,536921
548678,536921
905140,536921
905141,536921
905142,536921
913868,536921
913869,536921
913870,536921
917428,536921
917429,536921
917430,536921
917905,536921
917906,536921
917907,536921
926928,536921
926929,536921
926930,536921
927626,536921
927627,536921
927628,536921
929705,536921
929706,536921
929707,536921
937899,536921
937900,536921
937901,536921
939271,536921
939272,536921
939273,536921
943557,536921
943558,536921
943559,536921
944245,536921
944246,536921
944247,536921
955639,536921
955640,536921
955641,536921
957129,536921
957130,536921
957131,536921
959049,536921
959050,536921
959051,536921
960215,536921
960216,536921
960217,536921
960768,536921
960769,536921
960770,536921
965930,536921
965931,536921
965932,536921
966593,536921
966594,536921
966595,536921
975567,536921
975568,536921
975569,536921
978773,536921
978774,536921
978775,536921
985461,536921
985462,536921
985463,536921
986847,536921
986848,536921
986849,536921
987850,536921
987851,536921
987852,536921
988296,536921
988297,536921
988298,536921
997708,536921
997709,536921
997710,536921
998020,536921
998021,536921
998022,536921
998413,536921
998414,536921
998415,536921
1001676,536921
1001677,536921
1001678,536921
1007156,536921
1007157,536921
1007158,536921
1007623,536921
1007624,536921
1007625,536921
1008430,536921
1008431,536921
1008432,536921
1009508,536921
1009509,536921
1009510,536921
1014771,536921
1014772,536921
1014773,536921
1016213,536921
1016214,536921
1016215,536921
1020336,536921
1020337,536921
1020338,536921
30736,554345
30738,554345
30741,554345
322941,554345
322942,554345
322943,554345
248615,754379
248616,754379
248617,754379
798204,969115
798205,969115
798206,969115
865196,1030977
865197,1030977
865198,1030977
755,427633
759,427633
761,427633
337232,427633
337234,427633
337235,427633
910840,427633
910841,427633
910842,427633
917458,427633
917459,427633
917460,427633
920964,427633
920965,427633
920966,427633
926121,427633
926122,427633
926123,427633
940951,427633
940952,427633
940953,427633
941717,427633
941718,427633
941719,427633
950542,427633
950543,427633
950544,427633
963440,427633
963441,427633
963442,427633
966944,427633
966945,427633
966946,427633
978863,427633
978864,427633
978865,427633
979660,427633
979661,427633
979662,427633
997741,427633
997742,427633
997743,427633
1001718,427633
1001719,427633
1001720,427633
1012599,427633
1012600,427633
1012601,427633
1014310,427633
1014311,427633
1014312,427633
1015542,427633
1015543,427633
1015544,427633
1018150,427633
1018151,427633
1018152,427633
1019144,427633
1019145,427633
1019146,427633
21618,468995
21619,468995
21621,468995
339594,468995
339595,468995
339596,468995
921482,468995
921483,468995
921484,468995
927318,468995
927319,468995
927320,468995
928785,468995
928786,468995
928787,468995
931337,468995
931338,468995
931339,468995
942499,468995
942500,468995
942501,468995
943614,468995
943615,468995
943616,468995
946435,468995
946436,468995
946437,468995
951828,468995
951829,468995
951830,468995
957196,468995
957197,468995
957198,468995
958598,468995
958599,468995
958600,468995
959100,468995
959101,468995
959102,468995
976147,468995
976148,468995
976149,468995
976974,468995
976975,468995
976976,468995
1008062,468995
1008063,468995
1008064,468995
1008467,468995
1008468,468995
1008469,468995
1013291,468995
1013292,468995
1013293,468995
1014010,468995
1014011,468995
1014012,468995
1018153,468995
1018154,468995
1018155,468995
1059937,1258604
1059938,1258604
1059939,1258604
1397095,827548
1397096,827548
1397097,827548
