idayantdrt,idjeucle,idpartpt,cle,numcatalrepst,cedant,gestnr,comacc,cde_motif_mise_en_attente,droit_mise_en_attente
145444168,16796660,9285332,100.0,,1,0,0,,
145444169,16796665,9285332,100.0,,1,0,0,,
145444170,16796669,9285332,100.0,,1,0,0,,
67012161,46672334,39107924,50.0,,1,1,0,,
99589165,46672334,39107923,50.0,,1,1,0,,
67012162,46672335,39107924,25.0,,1,1,0,,
76592991,46672335,39107922,50.0,,1,0,0,,
99589166,46672335,39107923,25.0,,1,1,0,,
67012163,46672337,39107924,50.0,,1,1,0,,
99589167,46672337,39107923,50.0,,1,1,0,,
197365904,108503924,523043133,50.0,,1,1,0,,
197365905,108503924,523043134,50.0,,1,1,0,,
197365906,108503925,523043133,50.0,,1,1,0,,
197365907,108503925,523043134,50.0,,1,1,0,,
197365908,108503926,523043133,25.0,,1,1,0,,
197365909,108503926,523043135,50.0,,1,0,0,,
197365910,108503926,523043134,25.0,,1,1,0,,
146688355,42552085,33404905,100.0,,1,0,0,,
146688356,42552086,33404905,100.0,,1,0,0,,
146688357,42552087,33404905,100.0,,1,0,0,,
49874147,42896203,34329427,33.3333,,1,1,0,,
73735796,42896203,34329425,33.3333,,1,1,0,,
129864536,42896203,34329428,33.3334,,1,1,0,,
49874346,42896204,34329427,33.3333,,1,1,0,,
73740179,42896204,34329425,33.3333,,1,1,0,,
129864721,42896204,34329428,33.3334,,1,1,0,,
49874347,42896205,34329427,16.6667,,1,1,0,,
65067384,42896205,34329426,16.6666,,1,0,0,,
73740180,42896205,34329425,16.6667,,1,1,0,,
112969895,42896205,34329430,16.6666,,1,0,0,,
129864722,42896205,34329428,16.6667,,1,1,0,,
160711699,42896205,34329429,16.6667,,1,0,0,,
215971710,116165311,546751836,33.33,,1,1,0,,
215971711,116165311,546751848,33.34,,1,1,0,,
215971712,116165311,546751839,33.33,,1,1,0,,
215971713,116165312,546751836,33.33,,1,1,0,,
215971714,116165312,546751848,33.34,,1,1,0,,
215971715,116165312,546751839,33.33,,1,1,0,,
215971716,116165313,546751835,8.33,,1,0,0,,
215971717,116165313,546751836,16.67,,1,1,0,,
215971718,116165313,546751838,8.335,,1,0,0,,
215971719,116165313,546751848,16.67,,1,1,0,,
215971720,116165313,546751839,16.67,,1,1,0,,
215971721,116165313,546751840,8.335,,1,0,0,,
215971722,116165313,546751842,8.33,,1,0,0,,
215971723,116165313,546751837,8.33,,1,0,0,,
215971724,116165313,546751844,8.33,,1,0,0,,
117049370,78021043,258147256,100.0,,1,0,0,,
117049371,78021044,258147256,100.0,,1,0,0,,
117049372,78021045,258147256,100.0,,1,0,0,,
111781934,78717632,273999232,100.0,,1,0,0,,
111781935,78717633,273999232,100.0,,1,0,0,,
111781936,78717634,273999232,100.0,,1,0,0,,
33727241,80711688,299296007,6.25,,1,0,0,,
63125376,80711688,299296008,12.5,,1,0,0,,
67897825,80711688,299296009,37.5,,1,0,0,,
105285927,80711688,299296010,37.5,,1,1,0,,
107839370,80711688,299296011,6.25,,1,1,0,,
33727242,80711689,299296007,6.25,,1,0,0,,
63125377,80711689,299296008,12.5,,1,0,0,,
67898012,80711689,299296009,37.5,,1,0,0,,
105286120,80711689,299296010,37.5,,1,1,0,,
107839574,80711689,299296011,6.25,,1,1,0,,
33727429,80711690,299296007,4.1667,,1,0,0,,
63129710,80711690,299296008,16.6667,,1,0,0,,
67898013,80711690,299296009,49.9999,,1,0,0,,
105286121,80711690,299296010,25.0,,1,1,0,,
107839575,80711690,299296011,4.1667,,1,1,0,,
62630193,87282576,350719976,37.5,,1,1,0,,
62630194,87282576,350719977,12.5,,1,0,0,,
62630195,87282576,350719978,6.25,,1,0,0,,
62630196,87282576,350719979,6.25,,1,1,0,,
62630197,87282576,350719980,37.5,,1,0,0,,
62630198,87282577,350719976,25.0,,1,1,0,,
62630199,87282577,350719977,16.6667,,1,0,0,,
62630200,87282577,350719978,4.1667,,1,0,0,,
62630201,87282577,350719979,4.1667,,1,1,0,,
62630202,87282577,350719980,49.9999,,1,0,0,,
62630203,87282578,350719976,37.5,,1,1,0,,
62630204,87282578,350719977,12.5,,1,0,0,,
62630205,87282578,350719978,6.25,,1,0,0,,
62630206,87282578,350719979,6.25,,1,1,0,,
62630207,87282578,350719980,37.5,,1,0,0,,
154496254,87401556,352594276,37.5,,1,1,0,,
154496255,87401556,352594277,12.5,,1,0,0,,
154496256,87401556,352594278,6.25,,1,0,0,,
154496257,87401556,352594279,6.25,,1,1,0,,
154496258,87401556,352594281,37.5,,1,0,0,,
154496259,87401559,352594276,25.0,,1,1,0,,
154496260,87401559,352594277,16.6667,,1,0,0,,
154741028,87401559,352594278,4.1667,,1,0,0,,
154741029,87401559,352594279,4.1667,,1,1,0,,
154741030,87401559,352594281,49.9999,,1,0,0,,
154741031,87401560,352594276,37.5,,1,1,0,,
154741032,87401560,352594277,12.5,,1,0,0,,
