idcess,idtercmplx,priort,idoeuv,datdbtsys,datfinsys
5981288,5981288,200,5633903,2011-12-04 00:00:00.000000,
15396233,16431603,200,26184353,2012-11-25 00:00:00.000000,
17239079,18931789,200,31968528,2013-04-23 00:00:00.000000,
41432269,146047930,200,1052453120,2020-09-26 00:00:00.000000,
15462682,16498932,200,26249975,2012-12-02 00:00:00.000000,
15617726,16654556,200,26385331,2012-12-23 00:00:00.000000,
44011136,148672232,200,1162284897,2021-06-10 00:00:00.000000,
30602975,83782236,200,512222418,2017-11-27 00:00:00.000000,
30955902,87645423,200,543671921,2018-02-03 00:00:00.000000,
31691926,93896067,200,599570144,2018-05-15 00:00:00.000000,
34042373,107042674,200,704225481,2018-12-08 00:00:00.000000,
34083880,107489041,200,708345693,2018-12-11 00:00:00.000000,
34777620,111021161,200,734677368,2019-01-31 00:00:00.000000,
36730707,120764748,200,811608015,2019-06-21 00:00:00.000000,
45446483,150123306,200,1225174960,2021-11-02 00:00:00.000000,
48195140,152909547,200,1312907916,2022-06-09 00:00:00.000000,
48937186,153659627,200,1340959874,2022-08-19 00:00:00.000000,
33032942,102003403,200,665901318,2018-09-13 00:00:00.000000,
35578881,113859462,200,755141254,2019-03-07 00:00:00.000000,
35966885,116704806,200,779185640,2019-04-26 00:00:00.000000,
39018007,135143937,200,930509672,2020-02-03 00:00:00.000000,
45807298,150490800,200,1237215430,2021-11-29 00:00:00.000000,
46138659,150825597,300,1249252393,2021-12-29 00:00:00.000000,
49036653,153760484,300,1346439392,2022-08-31 00:00:00.000000,
58335161,163096745,300,1453241121,2023-05-15 00:00:00.000000,
60292162,165085060,300,1525619803,2023-11-17 00:00:00.000000,
12778652,12778652,104,11997816,2011-12-05 00:00:00.000000,
12778657,12778657,101,11997816,2011-12-05 00:00:00.000000,
12778664,12778662,103,11997816,2011-12-05 00:00:00.000000,
12778666,12778666,200,11997816,2011-12-05 00:00:00.000000,
12778670,12778670,102,11997816,2011-12-05 00:00:00.000000,
18314760,21105550,200,41960584,2013-06-28 00:00:00.000000,
20829635,33901135,200,110507151,2014-09-24 00:00:00.000000,
22297434,36422604,200,121972681,2015-01-29 00:00:00.000000,
24557467,42251995,200,150818313,2015-10-29 00:00:00.000000,
26079073,49565982,200,209260205,2016-03-24 00:00:00.000000,
26115318,49966017,200,212933844,2016-04-02 00:00:00.000000,
26775220,54282641,200,250184400,2016-06-16 00:00:00.000000,
29524866,74225547,200,425656702,2017-06-10 00:00:00.000000,
35491500,113363321,200,751110313,2019-02-26 00:00:00.000000,
37661087,126666981,200,860602695,2019-09-20 00:00:00.000000,
12983327,12983327,200,12172500,2011-12-05 00:00:00.000000,
19418747,27366517,200,85389956,2013-12-12 00:00:00.000000,
22614935,37092463,200,122967543,2015-02-20 00:00:00.000000,
3517604,3517604,200,3295585,2011-12-03 00:00:00.000000,
3821783,3821783,200,3584402,2011-12-03 00:00:00.000000,
32186062,95182883,300,608050019,2018-05-30 00:00:00.000000,
34170018,107575399,200,708437448,2018-12-13 00:00:00.000000,
37954319,126960216,200,860891644,2019-09-20 00:00:00.000000,
40554031,145164376,300,1017279711,2020-07-03 00:00:00.000000,
40571897,145182284,300,1020192031,2020-07-06 00:00:00.000000,
1600148,1600148,101,1506945,2011-12-03 00:00:00.000000,
1600154,1600154,200,1506945,2011-12-03 00:00:00.000000,
18191812,20982602,200,41841498,2013-06-28 00:00:00.000000,
23781896,38968804,200,128205596,2015-05-29 00:00:00.000000,
28648064,68396465,200,375064732,2017-02-28 00:00:00.000000,
34885425,111129026,200,734785742,2019-02-01 00:00:00.000000,
4731067,4731067,200,4447282,2011-12-03 00:00:00.000000,
5046253,5046253,200,4745196,2011-12-04 00:00:00.000000,
12927977,12927977,101,12129972,2011-12-05 00:00:00.000000,
12927978,12927978,102,12129972,2011-12-05 00:00:00.000000,
12927979,12927979,200,12129972,2011-12-05 00:00:00.000000,
18340129,21130919,200,41984957,2013-06-28 00:00:00.000000,
23400589,38586349,200,127808002,2015-05-05 00:00:00.000000,
26817948,54693269,200,253909520,2016-06-21 00:00:00.000000,
28251755,65372536,200,348529633,2016-12-27 00:00:00.000000,
28559196,67551177,200,367789129,2017-02-15 00:00:00.000000,
34861724,111105325,200,734762159,2019-02-01 00:00:00.000000,
34919861,111163462,200,734819783,2019-02-01 00:00:00.000000,
38001762,127007659,200,860938530,2019-09-20 00:00:00.000000,
38946783,134650953,300,926381720,2020-01-23 00:00:00.000000,
36895397,121756488,300,819728428,2019-07-04 00:00:00.000000,
36921439,122196080,200,823735760,2019-07-09 00:00:00.000000,
