idctr,cdetypctr,numctr,indcsbl,second,datdbtctr,datfinctr,numinf,idtercmplx,datdbtsys,datfinsys,fledit,biem,cdestatutctr,expireffetimmediat,idtercess,optaffl,datfincollect
2125,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,13020245,1850-01-01 00:00:00.000000,2014-06-12 00:00:00.000000,,,002,0,,0,
257564,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,33032193,2014-06-12 00:00:00.000000,2015-01-27 00:00:00.000000, ,0,002,0,,0,
278479,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,36415257,2015-01-27 00:00:00.000000,2018-02-09 00:00:00.000000, ,0,002,0,,0,
361147,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,88071631,2018-02-09 00:00:00.000000,2018-02-14 00:00:00.000000, ,0,002,0,,0,
362268,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,88488422,2018-02-14 00:00:00.000000,2018-03-02 00:00:00.000000, ,0,002,0,,0,
363707,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,89335329,2018-03-02 00:00:00.000000,2018-03-14 00:00:00.000000, ,0,002,0,,0,
364908,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,90171959,2018-03-14 00:00:00.000000,2018-03-19 00:00:00.000000, ,0,002,0,,0,
365307,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,90612054,2018-03-19 00:00:00.000000,2018-05-03 00:00:00.000000, ,0,002,0,,0,
368208,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,93056953,2018-05-03 00:00:00.000000,2018-05-29 00:00:00.000000, ,0,002,0,,0,
369388,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,95177557,2018-05-29 00:00:00.000000,2018-06-13 00:00:00.000000, ,0,002,0,,0,
370488,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,96186668,2018-06-13 00:00:00.000000,2018-06-18 00:00:00.000000, ,0,002,0,,0,
370709,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,96615271,2018-06-18 00:00:00.000000,2018-07-09 00:00:00.000000, ,0,002,0,,0,
372347,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,97948005,2018-07-09 00:00:00.000000,2018-07-10 00:00:00.000000, ,0,002,0,,0,
372447,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,97957251,2018-07-10 00:00:00.000000,2018-08-23 00:00:00.000000, ,0,002,0,,0,
376089,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,100598399,2018-08-23 00:00:00.000000,2018-08-28 00:00:00.000000, ,0,002,0,,0,
376448,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,101025344,2018-08-28 00:00:00.000000,2018-09-06 00:00:00.000000, ,0,002,0,,0,
377507,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,101575545,2018-09-06 00:00:00.000000,2018-09-28 00:00:00.000000, ,0,002,0,,0,
378747,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,102905673,2018-09-28 00:00:00.000000,2018-10-15 00:00:00.000000, ,0,002,0,,0,
382849,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,103912435,2018-10-15 00:00:00.000000,2018-11-08 00:00:00.000000, ,0,002,0,,0,
385449,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,104960167,2018-11-08 00:00:00.000000,2018-11-28 00:00:00.000000, ,0,002,0,,0,
386668,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,106550083,2018-11-28 00:00:00.000000,2018-12-11 00:00:00.000000, ,0,002,0,,0,
388287,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,107510038,2018-12-11 00:00:00.000000,2018-12-18 00:00:00.000000, ,0,002,0,,0,
388667,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,108024264,2018-12-18 00:00:00.000000,2019-01-31 00:00:00.000000, ,0,002,0,,0,
391227,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,111176447,2019-01-31 00:00:00.000000,2019-02-05 00:00:00.000000, ,0,002,0,,0,
391807,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,111882533,2019-02-05 00:00:00.000000,2019-02-11 00:00:00.000000, ,0,002,0,,0,
392208,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,112347985,2019-02-11 00:00:00.000000,2019-02-13 00:00:00.000000, ,0,002,0,,0,
392690,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,112417523,2019-02-13 00:00:00.000000,2019-02-14 00:00:00.000000, ,0,002,0,,0,
392968,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,112424363,2019-02-14 00:00:00.000000,2019-02-28 00:00:00.000000, ,0,002,0,,0,
394328,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,113402245,2019-02-28 00:00:00.000000,2019-03-04 00:00:00.000000, ,0,002,0,,0,
394670,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,113835939,2019-03-04 00:00:00.000000,2019-03-15 00:00:00.000000, ,0,002,0,,0,
395428,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,114321088,2019-03-15 00:00:00.000000,2022-05-05 00:00:00.000000, ,0,002,0,,0,
469400,GENERAL,377,0,0,1980-01-01 00:00:00.000000,,4841,152593202,2022-05-05 00:00:00.000000,, ,0,002,0,,0,
19488,GENERAL,2167,1,0,1993-01-01 00:00:00.000000,,4895,13037608,1850-01-01 00:00:00.000000,2013-11-08 00:00:00.000000,,,002,0,,0,
164961,GENERAL,2167,1,0,1993-01-01 00:00:00.000000,,4895,26087390,2013-11-08 00:00:00.000000,2014-09-11 00:00:00.000000, ,0,002,0,,0,
264950,GENERAL,2167,1,0,1993-01-01 00:00:00.000000,,4895,33846882,2014-09-11 00:00:00.000000,, ,0,002,0,,0,
7580,GENERAL,36952,1,0,1988-01-01 00:00:00.000000,,36952,13025700,1850-01-01 00:00:00.000000,,,,002,0,,0,
31048,GENERAL,51219,1,0,2003-07-01 00:00:00.000000,,51219,13049168,1850-01-01 00:00:00.000000,2015-06-01 00:00:00.000000,,,002,0,,0,
289349,CGSES,51219,1,0,2003-07-01 00:00:00.000000,,0,38998733,2015-06-01 00:00:00.000000,2018-04-05 00:00:00.000000, ,0,002,0,,0,
366670,CGSES,51219,1,0,2003-07-01 00:00:00.000000,,0,91168156,2018-04-05 00:00:00.000000,2018-10-09 00:00:00.000000, ,0,002,0,,0,
382249,CGSES,51219,1,0,2003-07-01 00:00:00.000000,,0,103412500,2018-10-09 00:00:00.000000,2018-10-11 00:00:00.000000, ,0,002,0,,0,
382767,CGSES,51219,1,0,2003-07-01 00:00:00.000000,,9909733,103465210,2018-10-12 00:00:00.000000,,1,0,002,0,,0,
54391,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,13072511,1850-01-01 00:00:00.000000,2013-11-28 00:00:00.000000,,,002,0,,0,
222408,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,27257278,2013-11-28 00:00:00.000000,2018-01-24 00:00:00.000000, ,0,002,0,,0,
356820,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,87197309,2018-01-24 00:00:00.000000,2018-01-30 00:00:00.000000, ,0,002,0,,0,
359756,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,87628679,2018-01-30 00:00:00.000000,2018-02-06 00:00:00.000000, ,0,002,0,,0,
360996,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,88058573,2018-02-06 00:00:00.000000,2018-02-12 00:00:00.000000, ,0,002,0,,0,
361175,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,88469286,2018-02-12 00:00:00.000000,2018-03-08 00:00:00.000000, ,0,002,0,,0,
364336,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,89748631,2018-03-08 00:00:00.000000,2018-03-09 00:00:00.000000, ,0,002,0,,0,
364582,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,89752919,2018-03-09 00:00:00.000000,2018-03-19 00:00:00.000000, ,0,002,0,,0,
365315,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,90612062,2018-03-19 00:00:00.000000,2018-05-03 00:00:00.000000, ,0,002,0,,0,
368213,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,93056958,2018-05-03 00:00:00.000000,2018-05-16 00:00:00.000000, ,0,002,0,,0,
368717,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,93929121,2018-05-16 00:00:00.000000,2018-06-11 00:00:00.000000, ,0,002,0,,0,
370253,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,96175707,2018-06-11 00:00:00.000000,2018-06-13 00:00:00.000000, ,0,002,0,,0,
370495,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,96186675,2018-06-13 00:00:00.000000,2018-08-06 00:00:00.000000, ,0,002,0,,0,
374593,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,99712645,2018-08-06 00:00:00.000000,2018-08-09 00:00:00.000000, ,0,002,0,,0,
375123,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,99729369,2018-08-09 00:00:00.000000,2018-08-21 00:00:00.000000, ,0,002,0,,0,
375819,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,100576035,2018-08-21 00:00:00.000000,2018-08-24 00:00:00.000000, ,0,002,0,,0,
376279,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,100606204,2018-08-24 00:00:00.000000,2018-08-28 00:00:00.000000, ,0,002,0,,0,
376492,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,101025388,2018-08-28 00:00:00.000000,2018-09-21 00:00:00.000000, ,0,002,0,,0,
378390,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,102452308,2018-09-21 00:00:00.000000,2018-09-27 00:00:00.000000, ,0,002,0,,0,
378671,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,102900696,2018-09-27 00:00:00.000000,2018-10-04 00:00:00.000000, ,0,002,0,,0,
381689,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,103376511,2018-10-04 00:00:00.000000,2018-10-15 00:00:00.000000, ,0,002,0,,0,
382851,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,103912437,2018-10-15 00:00:00.000000,2018-10-30 00:00:00.000000, ,0,002,0,,0,
385147,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,104906673,2018-10-30 00:00:00.000000,2018-11-14 00:00:00.000000, ,0,002,0,,0,
385649,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,105399425,2018-11-14 00:00:00.000000,2018-11-20 00:00:00.000000, ,0,002,0,,0,
386010,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,105900618,2018-11-20 00:00:00.000000,2018-11-22 00:00:00.000000, ,0,002,0,,0,
386172,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,105985699,2018-11-22 00:00:00.000000,2019-01-11 00:00:00.000000, ,0,002,0,,0,
389576,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,109404580,2019-01-11 00:00:00.000000,2019-01-15 00:00:00.000000, ,0,002,0,,0,
389700,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,109842076,2019-01-15 00:00:00.000000,2019-01-16 00:00:00.000000, ,0,002,0,,0,
389831,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,109852902,2019-01-16 00:00:00.000000,2019-01-29 00:00:00.000000, ,0,002,0,,0,
390972,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,110997347,2019-01-29 00:00:00.000000,2019-02-13 00:00:00.000000, ,0,002,0,,0,
392839,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,112417672,2019-02-13 00:00:00.000000,2019-02-14 00:00:00.000000, ,0,002,0,,0,
393001,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,112424396,2019-02-14 00:00:00.000000,2019-02-18 00:00:00.000000, ,0,002,0,,0,
393290,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,112889296,2019-02-18 00:00:00.000000,2019-02-25 00:00:00.000000, ,0,002,0,,0,
393696,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,113368544,2019-02-25 00:00:00.000000,2019-03-18 00:00:00.000000, ,0,002,0,,0,
395557,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,114737395,2019-03-18 00:00:00.000000,2019-03-19 00:00:00.000000, ,0,002,0,,0,
396051,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,114742235,2019-03-19 00:00:00.000000,2019-04-03 00:00:00.000000, ,0,002,0,,0,
397492,ADMIN,54452,1,0,2005-07-01 00:00:00.000000,,54452,115263281,2019-04-03 00:00:00.000000,, ,0,002,0,,0,
41327,GENERAL,74530,1,0,2011-07-01 00:00:00.000000,,74530,13059447,1850-01-01 00:00:00.000000,,,,002,0,,0,
92790,ADMIN,78389,1,0,2012-08-01 00:00:00.000000,,78389,15809968,1850-01-01 00:00:00.000000,,,,002,0,,0,
97510,GENERAL,80696,0,0,2006-01-01 00:00:00.000000,,80696,17252801,1850-01-01 00:00:00.000000,2013-10-11 00:00:00.000000,,,002,0,,0,
139962,GENERAL,80696,0,0,2006-01-01 00:00:00.000000,,80696,24395985,2013-10-11 00:00:00.000000,2014-01-08 00:00:00.000000, ,0,002,0,,0,
250005,GENERAL,80696,0,0,2006-01-01 00:00:00.000000,,80696,28140152,2014-01-08 00:00:00.000000,2014-02-14 00:00:00.000000, ,0,002,0,,0,
252393,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,28950404,2014-02-14 00:00:00.000000,2018-01-22 00:00:00.000000, ,0,002,0,,0,
355645,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,87176118,2018-01-22 00:00:00.000000,2018-01-29 00:00:00.000000, ,0,002,0,,0,
358819,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,87618254,2018-01-29 00:00:00.000000,2018-02-13 00:00:00.000000, ,0,002,0,,0,
362198,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,88477249,2018-02-13 00:00:00.000000,2018-02-20 00:00:00.000000, ,0,002,0,,0,
362685,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,88901144,2018-02-20 00:00:00.000000,2018-02-27 00:00:00.000000, ,0,002,0,,0,
363570,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,89322011,2018-02-27 00:00:00.000000,2018-02-28 00:00:00.000000, ,0,002,0,,0,
363612,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,89326374,2018-02-28 00:00:00.000000,2018-03-07 00:00:00.000000, ,0,002,0,,0,
364233,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,89744756,2018-03-07 00:00:00.000000,2018-03-08 00:00:00.000000, ,0,002,0,,0,
364452,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,89748747,2018-03-08 00:00:00.000000,2018-03-13 00:00:00.000000, ,0,002,0,,0,
364855,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,90167145,2018-03-13 00:00:00.000000,2018-03-21 00:00:00.000000, ,0,002,0,,0,
365527,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,90625357,2018-03-21 00:00:00.000000,2018-03-23 00:00:00.000000, ,0,002,0,,0,
365680,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,90640114,2018-03-23 00:00:00.000000,2018-04-04 00:00:00.000000, ,0,002,0,,0,
366621,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,91161618,2018-04-04 00:00:00.000000,2018-04-10 00:00:00.000000, ,0,002,0,,0,
366859,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,91613772,2018-04-10 00:00:00.000000,2018-04-11 00:00:00.000000, ,0,002,0,,0,
366988,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,91621465,2018-04-11 00:00:00.000000,2018-04-12 00:00:00.000000, ,0,002,0,,0,
367061,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,91635431,2018-04-12 00:00:00.000000,2018-04-13 00:00:00.000000, ,0,002,0,,0,
367184,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,91638794,2018-04-13 00:00:00.000000,2018-04-17 00:00:00.000000, ,0,002,0,,0,
367340,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,92077254,2018-04-17 00:00:00.000000,2018-04-18 00:00:00.000000, ,0,002,0,,0,
367476,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,92118958,2018-04-18 00:00:00.000000,2018-05-04 00:00:00.000000, ,0,002,0,,0,
368323,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,93076747,2018-05-04 00:00:00.000000,2018-05-09 00:00:00.000000, ,0,002,0,,0,
368395,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,93493792,2018-05-09 00:00:00.000000,2018-05-16 00:00:00.000000, ,0,002,0,,0,
368731,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,93929135,2018-05-16 00:00:00.000000,2018-05-18 00:00:00.000000, ,0,002,0,,0,
368883,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,93953998,2018-05-18 00:00:00.000000,2018-06-18 00:00:00.000000, ,0,002,0,,0,
370743,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,96615305,2018-06-18 00:00:00.000000,2018-06-20 00:00:00.000000, ,0,002,0,,0,
370964,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,96632498,2018-06-20 00:00:00.000000,2018-07-11 00:00:00.000000, ,0,002,0,,0,
372601,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,97961993,2018-07-11 00:00:00.000000,2018-07-12 00:00:00.000000, ,0,002,0,,0,
372697,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,97966076,2018-07-12 00:00:00.000000,2018-07-18 00:00:00.000000, ,0,002,0,,0,
372956,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,98421071,2018-07-18 00:00:00.000000,2018-07-25 00:00:00.000000, ,0,002,0,,0,
373444,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,98864654,2018-07-25 00:00:00.000000,2018-07-26 00:00:00.000000, ,0,002,0,,0,
373538,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,98868960,2018-07-26 00:00:00.000000,2018-07-30 00:00:00.000000, ,0,002,0,,0,
373683,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,99279859,2018-07-30 00:00:00.000000,2018-08-03 00:00:00.000000, ,0,002,0,,0,
374516,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,99301942,2018-08-03 00:00:00.000000,2018-08-08 00:00:00.000000, ,0,002,0,,0,
375054,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,99723442,2018-08-08 00:00:00.000000,2018-08-10 00:00:00.000000, ,0,002,0,,0,
375381,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,99734151,2018-08-10 00:00:00.000000,2018-08-13 00:00:00.000000, ,0,002,0,,0,
375456,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,100141285,2018-08-13 00:00:00.000000,2018-08-16 00:00:00.000000, ,0,002,0,,0,
375540,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,100162056,2018-08-16 00:00:00.000000,2018-08-20 00:00:00.000000, ,0,002,0,,0,
375712,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,100566982,2018-08-20 00:00:00.000000,2018-08-28 00:00:00.000000, ,0,002,0,,0,
376563,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,101025459,2018-08-28 00:00:00.000000,2018-08-29 00:00:00.000000, ,0,002,0,,0,
376672,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,101034259,2018-08-29 00:00:00.000000,2018-09-14 00:00:00.000000, ,0,002,0,,0,
378183,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,102018932,2018-09-14 00:00:00.000000,2018-09-20 00:00:00.000000, ,0,002,0,,0,
378351,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,102446806,2018-09-20 00:00:00.000000,2018-10-03 00:00:00.000000, ,0,002,0,,0,
380527,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,103364088,2018-10-03 00:00:00.000000,2018-10-10 00:00:00.000000, ,0,002,0,,0,
382296,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,103420781,2018-10-10 00:00:00.000000,2018-10-11 00:00:00.000000, ,0,002,0,,0,
382510,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,103454693,2018-10-11 00:00:00.000000,2018-10-22 00:00:00.000000, ,0,002,0,,0,
383179,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,104461446,2018-10-22 00:00:00.000000,2018-11-07 00:00:00.000000, ,0,002,0,,0,
385376,GENERAL,80696,1,0,2006-01-01 00:00:00.000000,,80696,104950738,2018-11-07 00:00:00.000000,2018-12-07 00:00:00.000000, ,0,002,0,,0,
