iddetcedant,idpcttypdrt,idctr,idpcttypdrtcre,numpers
6337,168474,2125,,514547
6339,168476,2125,,514547
6341,168478,2125,,514547
651889,1644318,257564,,514547
651890,1644319,257564,,514547
651891,1644320,257564,,514547
712257,1786415,278479,,514547
712258,1786416,278479,,514547
712259,1786417,278479,,514547
917861,2293099,361147,,514547
917862,2293100,361147,,514547
917863,2293101,361147,,514547
921124,2300334,362268,,514547
921125,2300335,362268,,514547
921126,2300336,362268,,514547
925181,2308977,363707,,514547
925182,2308978,363707,,514547
925183,2308979,363707,,514547
928564,2316694,364908,,514547
928565,2316695,364908,,514547
928566,2316696,364908,,514547
929681,2319981,365307,,514547
929682,2319982,365307,,514547
929683,2319983,365307,,514547
937884,2375058,368208,,514547
937885,2375059,368208,,514547
937886,2375060,368208,,514547
941104,2382688,369388,,514547
941105,2382689,369388,,514547
941106,2382690,369388,,514547
944224,2390321,370488,,514547
944225,2390322,370488,,514547
944226,2390323,370488,,514547
944787,2391748,370709,,514547
944788,2391749,370709,,514547
944789,2391750,370709,,514547
949341,2401788,372347,,514547
949342,2401789,372347,,514547
949343,2401790,372347,,514547
949621,2402383,372447,,514547
949622,2402384,372447,,514547
949623,2402385,372447,,514547
959687,2424529,376089,,514547
959688,2424530,376089,,514547
959689,2424531,376089,,514547
960644,2426660,376448,,514547
960645,2426661,376448,,514547
960646,2426662,376448,,514547
963621,2433616,377507,,514547
963622,2433617,377507,,514547
963623,2433618,377507,,514547
966821,2442286,378747,,514547
966822,2442287,378747,,514547
966823,2442288,378747,,514547
978767,2468831,382849,,514547
978768,2468832,382849,,514547
978769,2468833,382849,,514547
986247,2485718,385449,,514547
986248,2485719,385449,,514547
986249,2485720,385449,,514547
989724,2495741,386668,,514547
989725,2495742,386668,,514547
989726,2495743,386668,,514547
994301,2506301,388287,,514547
994302,2506302,388287,,514547
994303,2506303,388287,,514547
995301,2509134,388667,,514547
995302,2509135,388667,,514547
995303,2509136,388667,,514547
1002441,2530905,391227,,514547
1002442,2530906,391227,,514547
1002443,2530907,391227,,514547
1004181,2539967,391807,,514547
1004182,2539968,391807,,514547
1004183,2539969,391807,,514547
1005284,2542586,392208,,514547
1005285,2542587,392208,,514547
1005286,2542588,392208,,514547
1006710,2545652,392690,,514547
1006711,2545653,392690,,514547
1006712,2545654,392690,,514547
1007524,2547329,392968,,514547
1007525,2547330,392968,,514547
1007526,2547331,392968,,514547
1011384,2556045,394328,,514547
1011385,2556046,394328,,514547
1011386,2556047,394328,,514547
1012350,2558101,394670,,514547
1012351,2558102,394670,,514547
1012352,2558103,394670,,514547
1014424,2563157,395428,,514547
1014425,2563158,395428,,514547
1014426,2563159,395428,,514547
1242279,3311772,469400,3311771,514547
1242280,3311774,469400,3311773,514547
1242281,3311776,469400,3311775,514547
58163,276782,19488,,371698
58164,276784,19488,,371698
58166,276786,19488,,371698
380473,1062865,164961,,371698
380474,1062866,164961,,371698
380475,1062867,164961,,371698
673059,1691638,264950,,371698
673061,1691640,264950,,371698
673062,1691642,264950,,371698
22590,202606,7580,202604,109933
22593,202610,7580,202608,109933
22595,202613,7580,202612,109933
92671,349964,31048,,53425
