ideltter,idtercmplx,cdepaysiso4n,incl,ordaff,ord_list
96696359,93896067,2136,1,0,1.0
6487071,5981288,2136,1,0,1.0
86548948,83782236,2136,1,0,1.0
17965598,16498932,2136,1,0,1.0
13900762,12778657,180,1,0,2.0
148985827,146047930,2136,1,0,1.0
113855797,111021161,2136,1,0,1.0
129544394,126666981,2136,1,0,1.0
116204983,113363321,2136,1,0,1.0
13900772,12778666,2136,1,0,1.0
104814535,102003403,2136,1,0,1.0
17895803,16431603,2136,1,0,1.0
13900761,12778657,56,1,0,1.0
153539069,150490800,2136,1,0,1.0
13900756,12778652,890,1,0,2.0
13900767,12778662,276,1,0,1.0
110317972,107489041,2136,1,0,1.0
76974268,74225547,2136,1,0,1.0
156767703,153659627,2136,1,0,1.0
56975028,54282641,2136,1,0,1.0
23554064,21105550,2136,1,0,1.0
168305467,165085060,2136,1,0,1.0
109870466,107042674,2136,1,0,1.0
18147887,16654556,2136,1,0,1.0
52649926,49966017,2136,1,0,1.0
29961342,27366517,2136,1,0,1.0
13900779,12778670,380,1,0,1.0
21223051,18931789,2136,1,0,1.0
36520051,33901135,2136,1,0,1.0
13900768,12778662,616,1,0,2.0
138047484,135143937,2136,1,0,1.0
13900754,12778652,40,1,0,1.0
90434155,87645423,2136,1,0,1.0
3826047,3517604,2136,1,0,1.0
119559918,116704806,2136,1,0,1.0
44925380,42251995,2136,1,0,1.0
155995194,152909547,2136,1,0,1.0
153168259,150123306,2136,1,0,1.0
52249450,49565982,2136,1,0,1.0
153875750,150825597,2136,1,0,1.0
151699017,148672232,2136,1,0,1.0
39055375,36422604,2136,1,0,1.0
123625076,120764748,2136,1,0,1.0
166284862,163096745,2136,1,0,1.0
39727904,37092463,2136,1,0,1.0
13900757,12778652,348,1,0,3.0
116701789,113859462,2136,1,0,1.0
156869435,153760484,2136,1,0,1.0
14141212,12983327,2136,1,0,1.0
153686294,150636492,308,0,7,7.0
116717052,113874634,2136,1,0,1.0
107786425,104960167,3017,1,0,2.0
