idjeucle,datdbtsys,datfinsys,datdbtvld,datfinvld,cdetypdrtsacem,idcess
16796660,,,2011-12-02 00:00:00.000000,,PH,5981288
16796665,,,2011-12-02 00:00:00.000000,,DR,5981288
16796669,,,2011-12-02 00:00:00.000000,,DE,5981288
46672334,,,2013-04-22 00:00:00.000000,,DR,17239079
46672335,,,2013-04-22 00:00:00.000000,,DE,17239079
46672337,,,2013-04-22 00:00:00.000000,,PH,17239079
108503924,,,2020-09-25 00:00:00.000000,,DR,41432269
108503925,,,2020-09-25 00:00:00.000000,,PH,41432269
108503926,,,2020-09-25 00:00:00.000000,,DE,41432269
42552085,,,2012-12-02 00:00:00.000000,,PH,15462682
42552086,,,2012-12-02 00:00:00.000000,,DR,15462682
42552087,,,2012-12-02 00:00:00.000000,,DE,15462682
42896203,,,2012-12-21 00:00:00.000000,,PH,15617726
42896204,,,2012-12-21 00:00:00.000000,,DR,15617726
42896205,,,2012-12-21 00:00:00.000000,,DE,15617726
116165311,2021-06-10 00:00:00.000000,,2021-06-10 00:00:00.000000,,DR,44011136
116165312,2021-06-10 00:00:00.000000,,2021-06-10 00:00:00.000000,,PH,44011136
116165313,2021-06-10 00:00:00.000000,,2021-06-10 00:00:00.000000,,DE,44011136
78021043,2017-11-27 00:00:00.000000,,2017-11-27 00:00:00.000000,,PH,30602975
78021044,2017-11-27 00:00:00.000000,,2017-11-27 00:00:00.000000,,DE,30602975
78021045,2017-11-27 00:00:00.000000,,2017-11-27 00:00:00.000000,,DR,30602975
78717632,,,2018-02-02 00:00:00.000000,,PH,30955902
78717633,,,2018-02-02 00:00:00.000000,,DE,30955902
78717634,,,2018-02-02 00:00:00.000000,,DR,30955902
80711688,,,2018-05-14 00:00:00.000000,,DR,31691926
80711689,,,2018-05-14 00:00:00.000000,,PH,31691926
80711690,,,2018-05-14 00:00:00.000000,,DE,31691926
87282576,,,2018-12-07 00:00:00.000000,,DR,34042373
87282577,,,2018-12-07 00:00:00.000000,,DE,34042373
87282578,,,2018-12-07 00:00:00.000000,,PH,34042373
87401556,,,2018-12-08 00:00:00.000000,,DR,34083880
87401559,,,2018-12-08 00:00:00.000000,,DE,34083880
87401560,,,2018-12-08 00:00:00.000000,,PH,34083880
89420722,,,2019-01-30 00:00:00.000000,,DE,34777620
89420726,,,2019-01-30 00:00:00.000000,,DR,34777620
89420727,,,2019-01-30 00:00:00.000000,,PH,34777620
94906340,,,2019-06-20 00:00:00.000000,,DR,36730707
94906341,,,2019-06-20 00:00:00.000000,,DE,36730707
94906342,,,2019-06-20 00:00:00.000000,,PH,36730707
120425318,2021-11-02 00:00:00.000000,,2021-11-02 00:00:00.000000,,DR,45446483
120425319,2021-11-02 00:00:00.000000,,2021-11-02 00:00:00.000000,,DE,45446483
120425320,2021-11-02 00:00:00.000000,,2021-11-02 00:00:00.000000,,PH,45446483
128615567,2022-06-09 00:00:00.000000,,2022-06-09 00:00:00.000000,,DR,48195140
128615568,2022-06-09 00:00:00.000000,,2022-06-09 00:00:00.000000,,DE,48195140
128615569,2022-06-09 00:00:00.000000,,2022-06-09 00:00:00.000000,,PH,48195140
130832879,2022-08-19 00:00:00.000000,,2022-08-19 00:00:00.000000,,DE,48937186
130832880,2022-08-19 00:00:00.000000,,2022-08-19 00:00:00.000000,,DR,48937186
130832881,2022-08-19 00:00:00.000000,,2022-08-19 00:00:00.000000,,PH,48937186
84506275,,,2018-09-12 00:00:00.000000,,DR,33032942
84506276,,,2018-09-12 00:00:00.000000,,PH,33032942
84506272,,,2018-09-12 00:00:00.000000,,DE,33032942
91685285,,,2019-03-06 00:00:00.000000,,DR,35578881
91685286,,,2019-03-06 00:00:00.000000,,DE,35578881
91685287,,,2019-03-06 00:00:00.000000,,PH,35578881
92727033,,,2019-04-25 00:00:00.000000,,PH,35966885
92727034,,,2019-04-25 00:00:00.000000,,DE,35966885
92727035,,,2019-04-25 00:00:00.000000,,DR,35966885
101376429,2020-02-03 00:00:00.000000,,2020-02-03 00:00:00.000000,,DR,39018007
101376430,2020-02-03 00:00:00.000000,,2020-02-03 00:00:00.000000,,DE,39018007
101376431,2020-02-03 00:00:00.000000,,2020-02-03 00:00:00.000000,,PH,39018007
121497931,2021-11-29 00:00:00.000000,,2021-11-29 00:00:00.000000,,DE,45807298
121497932,2021-11-29 00:00:00.000000,,2021-11-29 00:00:00.000000,,DR,45807298
121497933,2021-11-29 00:00:00.000000,,2021-11-29 00:00:00.000000,,PH,45807298
122485325,2021-12-29 00:00:00.000000,,1850-01-01 00:00:00.000000,,DR,46138659
122485326,2021-12-29 00:00:00.000000,,1850-01-01 00:00:00.000000,,DE,46138659
122485327,2021-12-29 00:00:00.000000,,1850-01-01 00:00:00.000000,,PH,46138659
131130012,2022-08-31 00:00:00.000000,,2022-08-31 00:00:00.000000,,PH,49036653
131130013,2022-08-31 00:00:00.000000,,2022-08-31 00:00:00.000000,,DE,49036653
131130014,2022-08-31 00:00:00.000000,,2022-08-31 00:00:00.000000,,DR,49036653
154001588,2023-05-15 00:00:00.000000,,1850-01-01 00:00:00.000000,,DR,58335161
154001589,2023-05-15 00:00:00.000000,,1850-01-01 00:00:00.000000,,DE,58335161
154001590,2023-05-15 00:00:00.000000,,1850-01-01 00:00:00.000000,,PH,58335161
159817442,2023-11-17 00:00:00.000000,,1850-01-01 00:00:00.000000,,PH,60292162
159817443,2023-11-17 00:00:00.000000,,1850-01-01 00:00:00.000000,,DE,60292162
159817444,2023-11-17 00:00:00.000000,,1850-01-01 00:00:00.000000,,DR,60292162
35996873,,,1992-04-21 00:00:00.000000,,PH,12778652
35996875,,,1992-04-21 00:00:00.000000,,DR,12778652
35996886,,,1992-04-21 00:00:00.000000,,PH,12778657
35996889,,,1992-04-21 00:00:00.000000,,DR,12778657
35996897,,,1992-04-21 00:00:00.000000,,PH,12778664
35996898,,,1992-04-21 00:00:00.000000,,DR,12778664
35996907,,,2011-09-16 00:00:00.000000,,PH,12778666
35996909,,,2011-09-16 00:00:00.000000,,DR,12778666
35996910,,,2011-09-16 00:00:00.000000,,DE,12778666
35996917,,,1992-04-21 00:00:00.000000,,PH,12778670
35996919,,,1992-04-21 00:00:00.000000,,DR,12778670
49438647,,,2013-06-19 00:00:00.000000,,DE,18314760
49438648,,,2013-06-19 00:00:00.000000,,PH,18314760
49438649,,,2013-06-19 00:00:00.000000,,DR,18314760
55203959,,,2014-09-23 00:00:00.000000,,PH,20829635
55203960,,,2014-09-23 00:00:00.000000,,DR,20829635
55203961,,,2014-09-23 00:00:00.000000,,DE,20829635
58518033,,,2015-01-28 00:00:00.000000,,DE,22297434
58518034,,,2015-01-28 00:00:00.000000,,DR,22297434
58518035,,,2015-01-28 00:00:00.000000,,PH,22297434
64043924,,,2015-10-28 00:00:00.000000,,PH,24557467
64043925,,,2015-10-28 00:00:00.000000,,DE,24557467
64043926,,,2015-10-28 00:00:00.000000,,DR,24557467
67594430,,,2016-03-23 00:00:00.000000,,DE,26079073
67594431,,,2016-03-23 00:00:00.000000,,DR,26079073
67594432,,,2016-03-23 00:00:00.000000,,PH,26079073
67664201,,,2016-04-01 00:00:00.000000,,PH,26115318
67664209,,,2016-04-01 00:00:00.000000,,DE,26115318
67664211,,,2016-04-01 00:00:00.000000,,DR,26115318
69221860,,,2016-06-15 00:00:00.000000,,DR,26775220
69221861,,,2016-06-15 00:00:00.000000,,PH,26775220
69221862,,,2016-06-15 00:00:00.000000,,DE,26775220
75729787,,,2017-06-09 00:00:00.000000,,DR,29524866
75729788,,,2017-06-09 00:00:00.000000,,PH,29524866
75729789,,,2017-06-09 00:00:00.000000,,DE,29524866
