idoeuv,cdestatutoeuv,paysori,cdegreoeuv,ide12,datdepot,datcre,datdbtsys,datfinsys,toreindex,datmaj,datmajtech,publierevt
5633903,0,826,ML,2240438311,,2011-12-02 00:00:00.000000,1850-01-01 00:00:00.000000,2012-11-23 00:00:00.000000,0.0,,2012-11-23 00:00:00.000000,0
26184353,50,840,ML,2240438311,2012-09-12 00:00:00.000000,2012-11-23 00:00:00.000000,2012-11-23 00:00:00.000000,2013-04-22 00:00:00.000000,0.0,,2013-04-22 00:00:00.000000,0
31968528,0,840,ML,2240438311,2012-09-12 00:00:00.000000,2012-11-23 00:00:00.000000,2013-04-22 00:00:00.000000,2020-09-25 00:00:00.000000,0.0,2018-04-20 00:00:00.000000,2020-09-26 00:00:00.000000,0
1052453120,0,840,ML,2240438311,2012-09-12 00:00:00.000000,2012-11-23 00:00:00.000000,2020-09-25 00:00:00.000000,,0.0,2020-09-26 00:00:00.000000,2021-11-08 11:33:57.000000,0
26249975,0,2044,XY,2665236111,,2012-12-02 00:00:00.000000,1850-01-01 00:00:00.000000,2012-12-21 00:00:00.000000,0.0,,2022-11-28 15:46:09.000000,0
26385331,0,840,ML,2665236111,2012-11-30 00:00:00.000000,2012-12-20 00:00:00.000000,2012-12-21 00:00:00.000000,2021-06-10 00:00:00.000000,0.0,2021-06-10 00:00:00.000000,2022-11-28 15:46:09.000000,0
1162284897,0,840,ML,2665236111,2012-11-30 00:00:00.000000,2012-12-20 00:00:00.000000,2021-06-10 00:00:00.000000,,0.0,2021-06-10 00:00:00.000000,2023-12-07 10:58:51.000000,0
512222418,0,2044,OF,3693837711,,2017-11-27 00:00:00.000000,1850-01-01 00:00:00.000000,2018-02-02 00:00:00.000000,0.0,2017-11-28 00:00:00.000000,2018-02-03 00:00:00.000000,0
543671921,0,250,XY,3693837711,2018-01-01 00:00:00.000000,2018-02-02 00:00:00.000000,2018-02-02 00:00:00.000000,2018-05-14 00:00:00.000000,0.0,2018-02-03 00:00:00.000000,2018-05-15 00:00:00.000000,0
599570144,0,250,ML,3693837711,2018-04-17 00:00:00.000000,2018-02-02 00:00:00.000000,2018-05-14 00:00:00.000000,2018-12-07 00:00:00.000000,0.0,2018-05-15 00:00:00.000000,2018-12-08 00:00:00.000000,0
704225481,0,250,ML,3693837711,2018-04-17 00:00:00.000000,2018-02-02 00:00:00.000000,2018-12-07 00:00:00.000000,2018-12-08 00:00:00.000000,0.0,2018-12-08 00:00:00.000000,2018-12-11 00:00:00.000000,0
708345693,0,250,ML,3693837711,2018-04-17 00:00:00.000000,2018-02-02 00:00:00.000000,2018-12-08 00:00:00.000000,2019-01-30 00:00:00.000000,0.0,2018-12-11 00:00:00.000000,2019-01-31 00:00:00.000000,0
734677368,0,250,ML,3693837711,2018-04-17 00:00:00.000000,2018-02-02 00:00:00.000000,2019-01-30 00:00:00.000000,2019-06-20 00:00:00.000000,0.0,2019-01-31 00:00:00.000000,2019-06-21 00:00:00.000000,0
811608015,0,250,ML,3693837711,2018-04-17 00:00:00.000000,2018-02-02 00:00:00.000000,2019-06-20 00:00:00.000000,2021-11-02 00:00:00.000000,0.0,2021-11-02 00:00:00.000000,2021-11-02 00:00:00.000000,0
1225174960,0,250,ML,3693837711,2018-04-17 00:00:00.000000,2018-02-02 00:00:00.000000,2021-11-02 00:00:00.000000,2022-06-09 00:00:00.000000,0.0,2022-06-09 00:00:00.000000,2022-06-09 00:00:00.000000,0
1312907916,0,250,ML,3693837711,2018-04-17 00:00:00.000000,2018-02-02 00:00:00.000000,2022-06-09 00:00:00.000000,2022-08-19 00:00:00.000000,0.0,2022-08-19 00:00:00.000000,2022-08-19 00:00:00.000000,0
1340959874,0,250,ML,3693837711,2018-04-17 00:00:00.000000,2018-02-02 00:00:00.000000,2022-08-19 00:00:00.000000,,0.0,2022-08-19 00:00:00.000000,2022-08-19 15:23:02.000000,0
665901318,0,840,ML,3741975311,,2018-09-12 00:00:00.000000,1850-01-01 00:00:00.000000,2019-03-05 00:00:00.000000,0.0,2018-09-13 00:00:00.000000,2019-03-06 00:00:00.000000,0
755128689,30,840,XY,3741975311,,2019-03-05 00:00:00.000000,2019-03-05 00:00:00.000000,2019-03-06 00:00:00.000000,0.0,2019-03-06 00:00:00.000000,2019-03-07 00:00:00.000000,0
755141254,0,124,ML,3741975311,2018-09-06 00:00:00.000000,2019-03-06 00:00:00.000000,2019-03-06 00:00:00.000000,2019-04-25 00:00:00.000000,0.0,2019-03-07 00:00:00.000000,2019-04-26 00:00:00.000000,0
779185640,0,124,ML,3741975311,2018-09-06 00:00:00.000000,2019-03-06 00:00:00.000000,2019-04-25 00:00:00.000000,2020-02-03 00:00:00.000000,0.0,2020-02-03 00:00:00.000000,2020-02-03 00:00:00.000000,0
930509672,0,124,ML,3741975311,2018-09-06 00:00:00.000000,2019-03-06 00:00:00.000000,2020-02-03 00:00:00.000000,2021-11-29 00:00:00.000000,0.0,2021-11-29 00:00:00.000000,2021-11-29 00:00:00.000000,0
1237215430,0,124,ML,3741975311,2018-09-06 00:00:00.000000,2019-03-06 00:00:00.000000,2021-11-29 00:00:00.000000,,0.0,2024-05-01 00:00:00.000000,2024-05-01 00:00:00.000000,0
1249252393,0,276,ML,4794636111,2021-12-28 00:00:00.000000,2021-12-29 00:00:00.000000,1850-01-01 00:00:00.000000,2022-08-31 00:00:00.000000,0.0,2022-08-31 00:00:00.000000,2022-08-31 00:00:00.000000,0
1346439392,0,276,ML,4794636111,2021-12-28 00:00:00.000000,2021-12-29 00:00:00.000000,2022-08-31 00:00:00.000000,,0.0,2024-04-27 00:00:00.000000,2024-04-29 16:34:07.000000,0
1453241121,0,250,MO,5225283111,2023-03-21 00:00:00.000000,2023-05-15 00:00:00.000000,1850-01-01 00:00:00.000000,,0.0,2023-11-20 00:00:00.000000,2024-06-11 13:38:13.000000,0
1525619803,0,826,ML,5363801411,2023-11-13 00:00:00.000000,2023-11-17 00:00:00.000000,1850-01-01 00:00:00.000000,,0.0,2023-11-17 00:00:00.000000,2023-11-17 00:00:00.000000,0
11997816,0,840,ML,6785877311,1967-01-01 00:00:00.000000,1967-01-01 00:00:00.000000,1850-01-01 00:00:00.000000,2013-06-19 00:00:00.000000,0.0,,2013-06-19 00:00:00.000000,0
41960584,0,840,ML,6785877311,1967-01-01 00:00:00.000000,1967-01-01 00:00:00.000000,2013-06-19 00:00:00.000000,2014-09-23 00:00:00.000000,0.0,,2014-09-23 00:00:00.000000,0
110507151,0,840,ML,6785877311,1967-01-01 00:00:00.000000,1967-01-01 00:00:00.000000,2014-09-23 00:00:00.000000,2015-01-28 00:00:00.000000,0.0,,2015-01-28 00:00:00.000000,0
121972681,0,840,ML,6785877311,1967-01-01 00:00:00.000000,1967-01-01 00:00:00.000000,2015-01-28 00:00:00.000000,2015-10-28 00:00:00.000000,0.0,,2015-10-28 00:00:00.000000,0
150818313,0,840,ML,6785877311,1967-01-01 00:00:00.000000,1967-01-01 00:00:00.000000,2015-10-28 00:00:00.000000,2016-03-23 00:00:00.000000,0.0,,2016-03-23 00:00:00.000000,0
209260205,0,840,ML,6785877311,1967-01-01 00:00:00.000000,1967-01-01 00:00:00.000000,2016-03-23 00:00:00.000000,2016-04-01 00:00:00.000000,0.0,,2016-04-01 00:00:00.000000,0
212933844,0,840,ML,6785877311,1967-01-01 00:00:00.000000,1967-01-01 00:00:00.000000,2016-04-01 00:00:00.000000,2016-06-15 00:00:00.000000,0.0,,2016-06-15 00:00:00.000000,0
250184400,0,840,ML,6785877311,1967-01-01 00:00:00.000000,1967-01-01 00:00:00.000000,2016-06-15 00:00:00.000000,2017-06-09 00:00:00.000000,0.0,,2017-06-09 00:00:00.000000,0
425656702,0,840,ML,6785877311,1967-01-01 00:00:00.000000,1967-01-01 00:00:00.000000,2017-06-09 00:00:00.000000,2019-02-25 00:00:00.000000,0.0,2018-04-20 00:00:00.000000,2019-02-26 00:00:00.000000,0
751110313,0,840,ML,6785877311,1967-01-01 00:00:00.000000,1967-01-01 00:00:00.000000,2019-02-25 00:00:00.000000,2019-09-19 00:00:00.000000,0.0,2019-07-01 00:00:00.000000,2019-09-20 00:00:00.000000,0
860602695,0,840,ML,6785877311,1967-01-01 00:00:00.000000,1967-01-01 00:00:00.000000,2019-09-19 00:00:00.000000,,0.0,2024-05-02 00:00:00.000000,2024-05-02 00:00:00.000000,0
12172500,0,250,ML,6940194012,,1969-01-01 00:00:00.000000,1850-01-01 00:00:00.000000,2013-12-11 00:00:00.000000,0.0,,2013-12-11 00:00:00.000000,0
85389956,0,250,ML,6940194012,,1969-01-01 00:00:00.000000,2013-12-11 00:00:00.000000,2015-02-19 00:00:00.000000,0.0,,2015-02-19 00:00:00.000000,0
122967543,0,250,ML,6940194012,,1969-01-01 00:00:00.000000,2015-02-19 00:00:00.000000,,0.0,2018-04-20 00:00:00.000000,2015-02-19 00:00:00.000000,0
3295585,0,840,ML,7709493611,1995-08-29 00:00:00.000000,1977-01-01 00:00:00.000000,1850-01-01 00:00:00.000000,,0.0,2018-04-20 00:00:00.000000,2023-08-01 00:00:00.000000,0
3584402,0,826,ML,7715870111,,1977-01-01 00:00:00.000000,1850-01-01 00:00:00.000000,2019-09-19 00:00:00.000000,0.0,2018-04-20 00:00:00.000000,2019-09-20 00:00:00.000000,0
608050019,0,840,ML,4024962211,2018-05-18 00:00:00.000000,2018-05-30 00:00:00.000000,1850-01-01 00:00:00.000000,2018-12-12 00:00:00.000000,0.0,2018-11-15 00:00:00.000000,2018-12-13 00:00:00.000000,0
708437448,0,840,ML,4024962211,2018-05-18 00:00:00.000000,2018-05-30 00:00:00.000000,2018-12-12 00:00:00.000000,,0.0,2018-12-13 00:00:00.000000,2018-12-13 00:00:00.000000,0
860891644,0,826,ML,7715870111,,1977-01-01 00:00:00.000000,2019-09-19 00:00:00.000000,,0.0,2019-09-23 00:00:00.000000,2020-02-03 14:20:11.000000,0
1017279711,0,826,ML,4372235711,2020-07-01 00:00:00.000000,2020-07-03 00:00:00.000000,1850-01-01 00:00:00.000000,,0.0,2020-07-03 00:00:00.000000,2020-07-03 00:00:00.000000,0
1020192031,0,840,ML,4373962311,2020-07-03 00:00:00.000000,2020-07-06 00:00:00.000000,1850-01-01 00:00:00.000000,,0.0,2020-07-06 00:00:00.000000,2020-07-06 00:00:00.000000,0
1506945,0,826,ML,7504304511,,1975-01-01 00:00:00.000000,1850-01-01 00:00:00.000000,2013-06-19 00:00:00.000000,0.0,,2013-06-19 00:00:00.000000,0
41841498,0,826,ML,7504304511,,1975-01-01 00:00:00.000000,2013-06-19 00:00:00.000000,2015-05-28 00:00:00.000000,0.0,,2015-05-28 00:00:00.000000,0
128205596,0,826,ML,7504304511,,1975-01-01 00:00:00.000000,2015-05-28 00:00:00.000000,2017-02-27 00:00:00.000000,0.0,,2017-02-27 00:00:00.000000,0
375064732,0,826,ML,7504304511,,1975-01-01 00:00:00.000000,2017-02-27 00:00:00.000000,2019-01-31 00:00:00.000000,0.0,2019-02-01 00:00:00.000000,2019-02-01 00:00:00.000000,0
734785742,0,826,ML,7504304511,,1975-01-01 00:00:00.000000,2019-01-31 00:00:00.000000,,0.0,2019-02-01 00:00:00.000000,2019-02-01 00:00:00.000000,0
4447282,0,826,ML,7810206511,,1978-01-01 00:00:00.000000,1850-01-01 00:00:00.000000,,,,1850-01-01 00:00:00.000000,0
4745196,0,826,ML,7814483211,,1978-01-01 00:00:00.000000,1850-01-01 00:00:00.000000,2015-05-04 00:00:00.000000,0.0,,2015-05-04 00:00:00.000000,0
12129972,0,826,ML,6870212011,,1968-01-01 00:00:00.000000,1850-01-01 00:00:00.000000,2013-06-19 00:00:00.000000,0.0,,2013-06-19 00:00:00.000000,0
41984957,0,826,ML,6870212011,,1968-01-01 00:00:00.000000,2013-06-19 00:00:00.000000,2019-01-31 00:00:00.000000,0.0,2018-04-20 00:00:00.000000,2019-02-01 00:00:00.000000,0
127808002,0,826,ML,7814483211,,1978-01-01 00:00:00.000000,2015-05-04 00:00:00.000000,2019-01-31 00:00:00.000000,0.0,2018-04-20 00:00:00.000000,2019-02-01 00:00:00.000000,0
253909520,0,250,MO,3536315501,2016-05-26 00:00:00.000000,2016-06-20 00:00:00.000000,1850-01-01 00:00:00.000000,2016-12-24 00:00:00.000000,0.0,,2016-12-24 00:00:00.000000,0
348529633,0,250,MO,3536315501,2016-05-26 00:00:00.000000,2016-06-20 00:00:00.000000,2016-12-24 00:00:00.000000,,0.0,2018-04-20 00:00:00.000000,2016-12-24 00:00:00.000000,0
367789129,0,826,ML,3609566711,2017-01-01 00:00:00.000000,2017-02-14 00:00:00.000000,1850-01-01 00:00:00.000000,,0.0,,2021-11-08 11:33:57.000000,0
734762159,0,826,ML,6870212011,,1968-01-01 00:00:00.000000,2019-01-31 00:00:00.000000,,0.0,2019-02-01 00:00:00.000000,2019-02-01 00:00:00.000000,0
734819783,0,826,ML,7814483211,,1978-01-01 00:00:00.000000,2019-01-31 00:00:00.000000,2019-09-19 00:00:00.000000,0.0,2019-02-01 00:00:00.000000,2019-09-20 00:00:00.000000,0
860938530,0,826,ML,7814483211,2011-01-05 00:00:00.000000,1978-01-01 00:00:00.000000,2019-09-19 00:00:00.000000,,0.0,2019-09-23 00:00:00.000000,2019-09-23 00:00:00.000000,0
926381720,0,840,ML,4254593811,2019-11-26 00:00:00.000000,2020-01-23 00:00:00.000000,1850-01-01 00:00:00.000000,,0.0,2020-01-23 00:00:00.000000,2021-11-08 11:38:40.000000,0
819728428,0,2044,ML,4174113611,2019-06-27 00:00:00.000000,2019-07-04 00:00:00.000000,1850-01-01 00:00:00.000000,2019-07-06 00:00:00.000000,0.0,2019-07-04 00:00:00.000000,2022-11-28 15:46:09.000000,0
823735760,0,826,ML,4174113611,2019-06-27 00:00:00.000000,2019-07-04 00:00:00.000000,2019-07-06 00:00:00.000000,,0.0,2024-04-25 00:00:00.000000,2024-04-25 00:00:00.000000,0
1237215430,0,124,ML,3741975311,2018-09-06 00:00:00.000000,2019-03-06 00:00:00.000000,2021-11-29 00:00:00.000000,,0.0,2021-11-29 00:00:00.000000,2021-11-29 00:00:00.000000,0
823735760,0,826,ML,4174113611,2019-06-27 00:00:00.000000,2019-07-04 00:00:00.000000,2019-07-06 00:00:00.000000,,0.0,2019-07-09 00:00:00.000000,2022-11-28 15:46:09.000000,0
1346439392,0,276,ML,4794636111,2021-12-28 00:00:00.000000,2021-12-29 00:00:00.000000,2022-08-31 00:00:00.000000,,0.0,2022-08-31 00:00:00.000000,2022-08-31 17:30:59.000000,0
1453241121,0,250,MO,5225283111,2023-03-21 00:00:00.000000,2023-05-15 00:00:00.000000,1850-01-01 00:00:00.000000,,0.0,2023-11-20 00:00:00.000000,2023-11-20 10:18:49.000000,0
860602695,0,840,ML,6785877311,1967-01-01 00:00:00.000000,1967-01-01 00:00:00.000000,2019-09-19 00:00:00.000000,,0.0,2019-12-05 00:00:00.000000,2023-11-23 00:00:00.000000,0
