idoeuv,idpartpt,numnom,numnomgp,edtrsubst,partedtr,let,cdecategadsacem,numcatal,numpers,datdbtvld,datfinvld,nomdeclt,prndeclt,nomfid,id,dscrmt,numpartptspeci,ipnamenrforcage,idbranche
3295585,5485230,535304,535304,0,,,E,45060,391541,,,,,,,OSCAR,,,
3295585,5485235,,438558,0,,,CA,297879,339800,,,,,,,OSCAR,,,
5633903,9285332,7396,7396,0,,,CR,391536,6583,,,,,,,OSCAR,,,
11997816,19781338,431569,431569,0,,,SE,362555,336150,,,,,,,OSCAR,,,
11997816,19781339,,269120,0,,,CA,217500,183792,,,,,,,OSCAR,,,
11997816,19781340,363016,363016,0,,,SE,161674,300050,,,,,,,OSCAR,,,
11997816,19781341,,371075,0,,,AR,227580,304376,,,,,,,OSCAR,,,
11997816,19781344,,762053,0,,,SE,128696,518157,,,,,,,OSCAR,,,
11997816,19781345,,268885,0,,,CA,87104,183615,,,,,,,OSCAR,,,
11997816,19781348,363014,363014,0,,,SE,487261,300048,,,,,,,OSCAR,,,
11997816,19781350,111546,111546,0,,,E,74128,71419,,,,,,,OSCAR,,,
12172500,20152552,76653,76653,0,,,E,71702,53425,,,,,,,OSCAR,,,
12172500,20152554,46294,46294,0,,,C,330119,38036,,,,,,,OSCAR,,,
12172500,20152555,7399,7399,0,,,CR,391538,6586,,,,,,,OSCAR,,,
12172500,20152556,,82622,0,,,A,462526,56367,,,,,,,OSCAR,,,
26249975,33404905,7396,7396,0,,,CR,391536,6583,,,,,,,OSCAR,,,
26385331,34329425,433044,433044,0,,A,E,427633,336968,,,,,,,OSCAR,,,
26385331,34329426,959830,959830,0,,B,CA,629526,630796,,,,,,,OSCAR,,,
26385331,34329427,1207668,1207668,0,,A,E,780850,778828,,,,,,,OSCAR,,,
26385331,34329428,7391,7391,0,,B,E,326195,6578,,,,,,,OSCAR,,,
26385331,34329429,1025730,1025730,0,,A,CA,667100,670864,,,,,,,OSCAR,,,
26385331,34329430,993126,993126,0,,A,CA,649394,650696,,,,,,,OSCAR,,,
31968528,39107922,672573,672573,0,,A,C,251157,468319,,,,,,,OSCAR,,,
31968528,39107923,1195452,1195452,0,,A,E,773276,771711,,,,,,,OSCAR,,,
31968528,39107924,496465,496465,0,,A,E,497675,371698,,,,,,,OSCAR,,,
41960584,47120189,,269120,0,,,CA,217500,183792,,,,,,,OSCAR,,,
41960584,47120195,,268885,0,,,CA,87104,183615,,,,,,,OSCAR,,,
41960584,47120197,111546,111546,0,,,E,74128,71419,,,,,,,OSCAR,,,
85389956,57306093,76653,76653,0,,,E,71702,53425,,,,,,,OSCAR,,,
85389956,57306096,46294,46294,0,,,C,330119,38036,,,,,,,OSCAR,,,
85389956,57306098,,82622,0,,,A,462526,56367,,,,,,,OSCAR,,,
110507151,68545146,,269120,0,,,CA,217500,183792,,,,,,,OSCAR,,,
110507151,68545150,,268885,0,,,CA,87104,183615,,,,,,,OSCAR,,,
110507151,68545152,111546,111546,0,,,E,74128,71419,,,,,,,OSCAR,,,
121972681,76300409,,269120,0,,,CA,217500,183792,,,,,,,OSCAR,,,
121972681,76300414,,268885,0,,,CA,87104,183615,,,,,,,OSCAR,,,
121972681,76300416,111546,111546,0,,,E,74128,71419,,,,,,,OSCAR,,,
122967543,77931386,76653,76653,0,,A,E,71702,53425,,,,,,,OSCAR,,,1447954
122967543,77931388,,82622,0,,A,A,462526,56367,,,,,,,OSCAR,,,1447954
122967543,77931390,46294,46294,0,,A,C,330119,38036,,,,,,,OSCAR,,,1447954
150818313,95573303,,269120,0,,,CA,217500,183792,,,,,,,OSCAR,,,
150818313,95573312,,268885,0,,,CA,87104,183615,,,,,,,OSCAR,,,
150818313,95573324,111546,111546,0,,,E,74128,71419,,,,,,,OSCAR,,,
209260205,122669856,,269120,0,,,CA,217500,183792,,,,,,,OSCAR,,,
209260205,122669860,,268885,0,,,CA,87104,183615,,,,,,,OSCAR,,,
209260205,122669862,111546,111546,0,,,E,74128,71419,,,,,,,OSCAR,,,
212933844,124274155,,269120,0,,,CA,217500,183792,,,,,,,OSCAR,,,
212933844,124274171,,268885,0,,,CA,87104,183615,,,,,,,OSCAR,,,
212933844,124274179,111546,111546,0,,,E,74128,71419,,,,,,,OSCAR,,,
250184400,140738534,,269120,0,,,CA,217500,183792,,,,,,,OSCAR,,,
250184400,140738538,,268885,0,,,CA,87104,183615,,,,,,,OSCAR,,,
