idpcttypdrt,idclauspartcl,cdetypdrtsacem,pct
168481,,DE,100.0
168483,,PH,100.0
168485,,DR,100.0
1644321,,PH,100.0
1644325,,DR,100.0
1644328,,DE,100.0
1786418,,PH,100.0
1786419,,DR,100.0
1786420,,DE,100.0
2293102,,PH,100.0
2293103,,DR,100.0
2293104,,DE,100.0
2300337,,PH,100.0
2300338,,DR,100.0
2300339,,DE,100.0
2308980,,PH,100.0
2308981,,DR,100.0
2308982,,DE,100.0
2316697,,PH,100.0
2316698,,DR,100.0
2316699,,DE,100.0
2319984,,PH,100.0
2319985,,DR,100.0
2319986,,DE,100.0
2375061,,PH,100.0
2375062,,DR,100.0
2375063,,DE,100.0
2382691,,PH,100.0
2382692,,DR,100.0
2382693,,DE,100.0
2390324,,PH,100.0
2390325,,DR,100.0
2390326,,DE,100.0
2391751,,PH,100.0
2391752,,DR,100.0
2391753,,DE,100.0
2401791,,PH,100.0
2401792,,DR,100.0
2401793,,DE,100.0
2402386,,PH,100.0
2402387,,DR,100.0
2402388,,DE,100.0
2424532,,PH,100.0
2424533,,DR,100.0
2424534,,DE,100.0
2426663,,PH,100.0
2426664,,DR,100.0
2426665,,DE,100.0
2433619,,PH,100.0
2433620,,DR,100.0
2433621,,DE,100.0
2442289,,PH,100.0
2442290,,DR,100.0
2442291,,DE,100.0
2468834,,DR,100.0
2468835,,DE,100.0
2468836,,PH,100.0
2485721,,DR,100.0
2485722,,DE,100.0
2485723,,PH,100.0
2495744,,DR,100.0
2495745,,DE,100.0
2495746,,PH,100.0
2506304,,DR,100.0
2506305,,DE,100.0
2506306,,PH,100.0
2509137,,DR,100.0
2509138,,DE,100.0
2509139,,PH,100.0
2530908,,DR,100.0
2530909,,DE,100.0
2530910,,PH,100.0
2539970,,DR,100.0
2539971,,DE,100.0
2539972,,PH,100.0
2542589,,DR,100.0
2542590,,DE,100.0
2542591,,PH,100.0
2545655,,DR,100.0
2545656,,DE,100.0
2545657,,PH,100.0
2547332,,DR,100.0
2547333,,DE,100.0
2547334,,PH,100.0
2556048,,DR,100.0
2556049,,DE,100.0
2556050,,PH,100.0
2558104,,DR,100.0
2558105,,DE,100.0
2558106,,PH,100.0
2563160,,DR,100.0
2563161,,DE,100.0
2563162,,PH,100.0
3311777,,DR,100.0
3311778,,DE,100.0
3311779,,PH,100.0
276788,,DR,100.0
276790,,PH,100.0
276793,,DE,100.0
1062868,,DR,100.0
1062869,,PH,100.0
1062870,,DE,100.0
1691644,,DR,100.0
1691646,,PH,100.0
1691647,,DE,100.0
202615,,DR,100.0
202617,,DE,100.0
202618,,PH,100.0
349970,,DR,100.0
349972,,DE,100.0
349973,,PH,100.0
1870108,,DR,100.0
1870109,,DE,100.0
1870110,,PH,100.0
2330957,,DE,100.0
2330958,,DR,100.0
2330959,,PH,100.0
2464279,,DE,100.0
2464280,,PH,100.0
2464281,,DR,100.0
2468019,,DE,100.0
2468020,,PH,100.0
2468021,,DR,100.0
495497,,DR,100.0
495501,,PH,100.0
495503,,DE,100.0
1413137,,DR,100.0
1413138,,PH,100.0
1413139,,DE,100.0
2265759,,DR,100.0
2265760,,PH,100.0
2265761,,DE,100.0
2284269,,DR,100.0
2284270,,PH,100.0
2284271,,DE,100.0
2292070,,DR,100.0
2292071,,PH,100.0
2292072,,DE,100.0
2293271,,DR,100.0
2293272,,PH,100.0
2293273,,DE,100.0
2312797,,DR,100.0
2312798,,PH,100.0
2312799,,DE,100.0
2314361,,DR,100.0
2314362,,PH,100.0
2314363,,DE,100.0
2320038,,DR,100.0
2320039,,PH,100.0
