idrestctr,idctr,additif
1613883,382767,1
1613884,382767,1
1613885,382767,1
1613886,382767,1
1613887,382767,1
1613888,382767,1
1613889,382767,1
1613890,382767,1
1613891,382767,1
1613892,382767,1
1613893,382767,1
1613894,382767,1
1613895,382767,1
1613896,382767,1
1613897,382767,1
1613898,382767,1
1613899,382767,1
1613900,382767,1
1613901,382767,1
1613902,382767,1
1613903,382767,1
1613904,382767,1
1613905,382767,1
1613906,382767,1
1613907,382767,1
1613908,382767,1
1613909,382767,1
1613910,382767,1
1613911,382767,1
1613912,382767,1
1613913,382767,1
179932,41327,0
353916,92790,1
394226,101824,1
414158,107574,1
855806,241534,1
1229039,307561,1
1579199,362831,1
9090712,470632,1
13634766,504805,1
1260943,320713,1
1260944,320713,1
1269239,322873,1
1269240,322873,1
1306970,341340,1
1306971,341340,1
310653,78480,1
1956660,406835,1
1956661,406835,1
1956662,406835,1
1956663,406835,1
1956664,406835,1
1956665,406835,1
1956666,406835,1
1956667,406835,1
1956668,406835,1
1956669,406835,1
1956670,406835,1
1956671,406835,1
1956672,406835,1
1956673,406835,1
1956674,406835,1
1956675,406835,1
1956676,406835,1
1956677,406835,1
1956678,406835,1
1956679,406835,1
1956680,406835,1
1956681,406835,1
1956682,406835,1
1956683,406835,1
1956684,406835,1
1956685,406835,1
1956686,406835,1
1956687,406835,1
1956688,406835,1
1956689,406835,1
1956690,406835,1
1956691,406835,1
1956692,406835,1
1956693,406835,1
1956694,406835,1
7874783,462432,1
7874784,462432,1
7945577,462885,1
7945578,462885,1
15901660,514192,0
861256,242652,1
414189,107596,1
1579215,362843,1
4966795,443834,0
4787490,440973,0
524076,177288,1
4787502,440973,0
4858086,442137,0
4858080,442137,0
4787500,440973,0
4966779,443834,0
4966782,443834,0
524074,177288,1
4787488,440973,0
4858073,442137,0
4966799,443834,0
4787503,440973,0
4966786,443834,0
4966781,443834,0
4966784,443834,0
4787484,440973,0
4858071,442137,0
4787493,440973,0
4858072,442137,0
4858083,442137,0
4966796,443834,0
4858077,442137,0
4966788,443834,0
4787499,440973,0
4858089,442137,0
4966793,443834,0
4787482,440973,0
4787492,440973,0
4858074,442137,0
4966787,443834,0
4966780,443834,0
4787489,440973,0
4787494,440973,0
4787483,440973,0
4787501,440973,0
4966792,443834,0
4858087,442137,0
4858078,442137,0
4858075,442137,0
4966789,443834,0
4787495,440973,0
4966797,443834,0
4966776,443834,0
4787498,440973,0
4858084,442137,0
4966794,443834,0
4787497,440973,0
4787486,440973,0
4966778,443834,0
4858081,442137,0
4858070,442137,0
4787496,440973,0
4787485,440973,0
4966785,443834,0
4858088,442137,0
4966790,443834,0
4966777,443834,0
4858076,442137,0
4966798,443834,0
4787487,440973,0
4858069,442137,0
4966783,443834,0
4787491,440973,0
4966791,443834,0
3092130,414604,1
1124824,276367,0
3092101,414604,1
3092097,414604,1
3092103,414604,1
3092105,414604,0
113576,25689,0
3092121,414604,1
3092116,414604,1
363497,94320,1
3092120,414604,0
3092115,414604,1
3092113,414604,1
3092122,414604,1
3092128,414604,1
3092104,414604,1
3092127,414604,1
3092107,414604,1
3092132,414604,1
3092112,414604,1
3092118,414604,1
3092102,414604,1
3092111,414604,1
3092125,414604,1
113577,25689,0
3092133,414604,1
3092126,414604,0
3092124,414604,1
314278,82105,1
3092110,414604,1
363495,94320,1
3092109,414604,1
1124827,276367,0
3092123,414604,1
3092098,414604,1
3092099,414604,1
3092100,414604,1
3092129,414604,1
3092106,414604,1
3092114,414604,1
3092117,414604,1
3092131,414604,1
3092108,414604,1
3092119,414604,1
1183267,294786,1
8259600,464393,1
8259599,464393,1
1183265,294786,1
