idrestctr,ide12
310653,7715066801
4858069,4091652611
4858076,4399617811
4787490,4519256211
4787493,4519256911
4966792,4090120511
4787483,4399843111
4966787,4168249311
4966783,4104964711
4966782,2431035311
524076,7402779311
4966797,4399779011
4966781,4372235711
4787482,4091652611
4858073,4104964711
4966788,4399617811
4858089,4399772611
4858070,4399843111
4858075,4090119911
4787500,4519256711
4966786,4090119911
4966791,4399901111
524074,7504304511
4787491,4090121211
4966785,4372236211
4787495,4399901111
4966794,2817587211
4787502,4399779011
4787485,2431035311
4787496,4519257611
4858088,4399779011
4858080,4399901111
4966784,4090287111
4966793,4399931611
4787497,4399931611
4787489,4399617811
4858087,4104930611
4787492,4090172411
4858078,4090172411
4966790,4090172411
4966799,4372236711
4787499,4399701511
4858074,4090287111
4966776,4372237211
4858072,2431035311
4787501,4399772611
4966789,4090121211
4966798,4399772611
4858077,4090121211
4787486,4090287111
4787487,4104964711
4858071,4090288011
4858083,4399931611
4966779,4168286711
4858086,4399701511
4966796,4104930611
4966778,4399843111
4787484,4090288011
4858084,2817587211
4787498,2817587211
4966780,4090288011
4966795,4399701511
4787494,4090120511
4858081,4090120511
4787488,4090119911
4966777,4091652611
4787503,4104930611
314278,8715031511
