iddetcedant,numcatal
6337,192656
6339,192656
6341,192656
651889,192656
651890,192656
651891,192656
712257,192656
712258,192656
712259,192656
917861,192656
917862,192656
917863,192656
921124,192656
921125,192656
921126,192656
925181,192656
925182,192656
925183,192656
928564,192656
928565,192656
928566,192656
929681,192656
929682,192656
929683,192656
937884,192656
937885,192656
937886,192656
941104,192656
941105,192656
941106,192656
944224,192656
944225,192656
944226,192656
944787,192656
944788,192656
944789,192656
949341,192656
949342,192656
949343,192656
949621,192656
949622,192656
949623,192656
959687,192656
959688,192656
959689,192656
960644,192656
960645,192656
960646,192656
963621,192656
963622,192656
963623,192656
966821,192656
966822,192656
966823,192656
978767,192656
978768,192656
978769,192656
986247,192656
986248,192656
986249,192656
989724,192656
989725,192656
989726,192656
994301,192656
994302,192656
994303,192656
995301,192656
995302,192656
995303,192656
1002441,192656
1002442,192656
1002443,192656
1004181,192656
1004182,192656
1004183,192656
1005284,192656
1005285,192656
1005286,192656
1006710,192656
1006711,192656
1006712,192656
1007524,192656
1007525,192656
1007526,192656
1011384,192656
1011385,192656
1011386,192656
1012350,192656
1012351,192656
1012352,192656
1014424,192656
1014425,192656
1014426,192656
1242279,192656
1242280,192656
1242281,192656
58163,497675
58164,497675
58166,497675
380473,497675
380474,497675
380475,497675
673059,497675
673061,497675
673062,497675
22590,466990
22593,466990
22595,466990
92671,71702
92673,71702
92674,71702
743445,71702
743446,71702
743447,71702
933530,71702
933531,71702
933532,71702
977147,71702
977148,71702
977149,71702
978601,71702
978602,71702
978603,71702
162355,536921
162358,536921
162359,536921
548676,536921
548677,536921
548678,536921
905140,536921
905141,536921
905142,536921
913868,536921
913869,536921
913870,536921
917428,536921
917429,536921
917430,536921
917905,536921
917906,536921
917907,536921
926928,536921
926929,536921
926930,536921
927626,536921
927627,536921
927628,536921
929705,536921
929706,536921
929707,536921
937899,536921
937900,536921
937901,536921
939271,536921
939272,536921
939273,536921
943557,536921
943558,536921
943559,536921
944245,536921
944246,536921
944247,536921
955639,536921
955640,536921
955641,536921
957129,536921
957130,536921
957131,536921
959049,536921
959050,536921
959051,536921
960215,536921
960216,536921
960217,536921
960768,536921
960769,536921
960770,536921
965930,536921
965931,536921
965932,536921
966593,536921
966594,536921
966595,536921
975567,536921
975568,536921
975569,536921
978773,536921
978774,536921
978775,536921
985461,536921
985462,536921
985463,536921
986847,536921
986848,536921
986849,536921
987850,536921
987851,536921
987852,536921
988296,536921
988297,536921
988298,536921
997708,536921
997709,536921
